"Trait","Multiple_R_Squared","Adjusted_R_Squared","F_Statistic","P_Value","Coefficient","Coefficient_P_Value"
"MILK",0.385005239633751,0.318734252525319,5.80955945327642,0.0000000000000478707857527036,0.0671159571648906,0.039665189419965
"FAT",0.376558427705194,0.309377223794115,5.60511580297981,0.000000000000181694707141236,0.852058101255242,0.300006154743514
"PROT",0.384183394049225,0.317823845994185,5.78942149712312,0.0000000000000545690124082693,2.21663947138284,0.047630130915298
"SCS",0.375403310054471,0.308097632258617,5.57758754310611,0.000000000000217596814969694,3.9080680707951,0.421676894377646
"CONF",0.374613672705976,0.307222904678602,5.55882776931422,0.000000000000246071063349098,-4.78966426547239,0.552335151022761
"RUM",0.373802325409107,0.306324127716122,5.53960150373091,0.000000000000279146064016072,-1.25745607752226,0.817911315496411
"MS",0.375503828602804,0.308208982547072,5.57997901194126,0.000000000000214213373473912,-6.0375748618697,0.408591192496321
"FL",0.373982449041146,0.306523661222304,5.54386553825221,0.000000000000271444640071171,-2.1711035427447,0.729461324570806
"MOB",0.374255630881407,0.306826280760869,5.55033720794254,0.000000000000260161932466017,3.05921464231627,0.638544180151802
"FOOT",0.375182999977865,0.307853581872032,5.57234876719303,0.000000000000225197539669002,17.330935970922,0.452654820380023
"DS",0.373669453162129,0.306176937339083,5.53645761467576,0.00000000000028496467924033,0.39791322614744,0.950266847984173
"UD",0.376351514692098,0.309148014120126,5.60017724506837,0.000000000000187666059221929,-9.32976510472211,0.317953285444543
"UT",0.382285861553699,0.315721838014227,5.74313031613851,0.0000000000000737631217345641,-12.1238483525818,0.0731558244087269
"MSL",0.377709762881862,0.310652625261373,5.63265561705776,0.000000000000151730291062053,-8.62306341491925,0.220350909111462
"FA",0.374286964392481,0.306860990727877,5.55107985913996,0.000000000000258897717967146,-3.28216409840447,0.629865161221879
"FTP",0.374235938665387,0.306804466538813,5.54987051095243,0.000000000000260959563250032,4.85837425286979,0.644141878562422
