"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity","GO:0015018","true","0.04161897650117319","1.3807086042146914","2","6","1","14414","ENSBTAG00000020817"
"GO:MF","gamma-catenin binding","GO:0045295","true","0.04845451056061194","1.3146657888834925","11","6","1","14414","ENSBTAG00000021190"
"GO:MF","complement component C3b binding","GO:0001851","true","0.04845451056061194","1.3146657888834925","5","6","1","14414","ENSBTAG00000023177"
"GO:MF","complement binding","GO:0001848","false","0.04845451056061194","1.3146657888834925","13","6","1","14414","ENSBTAG00000023177"
"GO:MF","alpha-catenin binding","GO:0045294","true","0.04845451056061194","1.3146657888834925","10","6","1","14414","ENSBTAG00000021190"
"GO:MF","opsonin binding","GO:0001846","false","0.04845451056061194","1.3146657888834925","14","6","1","14414","ENSBTAG00000023177"
"GO:CC","adherens junction","GO:0005912","true","0.048159539623266745","1.3173176733289382","103","7","2","17218","ENSBTAG00000014991,ENSBTAG00000021190"
"GO:CC","PAR polarity complex","GO:0120157","true","0.048159539623266745","1.3173176733289382","3","7","1","17218","ENSBTAG00000014991"
"REAC","Cell-cell junction organization","REAC:R-BTA-421270","false","0.005362784719665515","2.2706096367378286","48","4","2","8225","ENSBTAG00000014991,ENSBTAG00000021190"
"REAC","Cell junction organization","REAC:R-BTA-446728","false","0.005885065625182459","2.2302486899155833","71","4","2","8225","ENSBTAG00000014991,ENSBTAG00000021190"
"REAC","Cell-Cell communication","REAC:R-BTA-1500931","false","0.006444232201056457","2.190828819304857","91","4","2","8225","ENSBTAG00000014991,ENSBTAG00000021190"
"REAC","Tight junction interactions","REAC:R-BTA-420029","false","0.019678092350077503","1.7060170055993487","6","4","1","8225","ENSBTAG00000014991"
"REAC","TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)","REAC:R-BTA-2173791","false","0.03929161544369922","1.4057001151469168","15","4","1","8225","ENSBTAG00000014991"
"REAC","Myogenesis","REAC:R-BTA-525793","false","0.047961784539131413","1.319104666251272","22","4","1","8225","ENSBTAG00000021190"
"WP","EBV LMP1 signaling","WP:WP984","false","0.03175873534387175","1.4981367998253348","13","2","1","2450","ENSBTAG00000021326"
"WP","Complement and coagulation cascades","WP:WP1056","false","0.03772668561095299","1.4233513470412682","31","2","1","2450","ENSBTAG00000023177"
"HP","Interhypothalamic adhesion","HP:0033105","false","0.04461328657704566","1.3505357819209214","1","1","1","5133","ENSBTAG00000021190"
