"","Category","ID","Term","adj_pvalue","id_ensembl"
"1","GO:BP","GO:2001032","regulation of double-strand break repair via nonhomologous end joining",0.0440145186951148,"ENSBTAG00000019194"
"2","GO:BP","GO:0045910","negative regulation of DNA recombination",0.0440145186951148,"ENSBTAG00000019194"
"3","GO:BP","GO:0045830","positive regulation of isotype switching",0.0440145186951148,"ENSBTAG00000019194"
"4","GO:BP","GO:0002889","regulation of immunoglobulin mediated immune response",0.0440145186951148,"ENSBTAG00000019194"
"5","GO:BP","GO:0002891","positive regulation of immunoglobulin mediated immune response",0.0440145186951148,"ENSBTAG00000019194"
"6","GO:BP","GO:0045738","negative regulation of DNA repair",0.0440145186951148,"ENSBTAG00000019194"
"7","GO:BP","GO:0045191","regulation of isotype switching",0.0440145186951148,"ENSBTAG00000019194"
"8","GO:BP","GO:0006303","double-strand break repair via nonhomologous end joining",0.0440145186951148,"ENSBTAG00000019194"
"9","GO:BP","GO:0045190","isotype switching",0.0440145186951148,"ENSBTAG00000019194"
"10","GO:BP","GO:0043649","dicarboxylic acid catabolic process",0.0440145186951148,"ENSBTAG00000007540"
"11","GO:BP","GO:0006536","glutamate metabolic process",0.0440145186951148,"ENSBTAG00000007540"
"12","GO:BP","GO:0006538","glutamate catabolic process",0.0440145186951148,"ENSBTAG00000007540"
"13","GO:BP","GO:0006541","glutamine metabolic process",0.0440145186951148,"ENSBTAG00000007540"
"14","GO:BP","GO:0043648","dicarboxylic acid metabolic process",0.0440145186951148,"ENSBTAG00000007540"
"15","GO:BP","GO:0009064","glutamine family amino acid metabolic process",0.0440145186951148,"ENSBTAG00000007540"
"16","GO:BP","GO:0009065","glutamine family amino acid catabolic process",0.0440145186951148,"ENSBTAG00000007540"
"17","GO:BP","GO:0032024","positive regulation of insulin secretion",0.0440145186951148,"ENSBTAG00000007540"
"18","GO:BP","GO:0002208","somatic diversification of immunoglobulins involved in immune response",0.0440145186951148,"ENSBTAG00000019194"
"19","GO:BP","GO:2000781","positive regulation of double-strand break repair",0.0440145186951148,"ENSBTAG00000019194"
"20","GO:BP","GO:0016447","somatic recombination of immunoglobulin gene segments",0.0440145186951148,"ENSBTAG00000019194"
"21","GO:BP","GO:0045911","positive regulation of DNA recombination",0.0440145186951148,"ENSBTAG00000019194"
"22","GO:BP","GO:0016445","somatic diversification of immunoglobulins",0.0440145186951148,"ENSBTAG00000019194"
