"","QTL","N_QTLs","N_QTLs_db","Total_annotated_QTLs","Total_QTLs_db","pvalue","adj.pval","QTL_type"
"15","Milk C14 index",35,4437,209,163224,1.04424628282345e-17,4.69910827270551e-16,"Milk"
"28","Milk myristoleic acid content",26,3047,209,163224,3.88647268076039e-14,8.74456353171088e-13,"Milk"
"31","Milk protein percentage",39,8803,209,163224,1.20335835661311e-11,1.80503753491967e-10,"Milk"
"29","Milk palmitoleic acid content",15,2422,209,163224,7.04337327481767e-07,7.92379493416988e-06,"Milk"
"16","Milk C16 index",12,2002,209,163224,1.28787966867714e-05,0.000115909170180942,"Milk"
"36","Muscle carnosine content",3,67,209,163224,9.33132078637539e-05,0.000699849058978154,"Meat and Carcass"
"23","Milk lactose content",3,105,209,163224,0.00035230436842006,0.0022648137969861,"Milk"
"20","Milk fat content",2,92,209,163224,0.00633187958748548,0.0356168226796058,"Milk"
"27","Milk myristic acid content",4,902,209,163224,0.0294858879423377,0.144968292562484,"Milk"
"33","Milk stearic acid content",2,218,209,163224,0.0322151761249965,0.144968292562484,"Milk"
"30","Milk pentadecylic acid content",2,280,209,163224,0.0505490918312744,0.206791739309759,"Milk"
"44","Teat length",2,300,209,163224,0.0570974233024298,0.214115337384112,"Exterior"
"14","Milk arachidic acid content",1,60,209,163224,0.0740083596647024,0.222025078994107,"Milk"
"25","Milk margaric acid content",1,59,209,163224,0.0728207246415667,0.222025078994107,"Milk"
"26","Milk mid-infrared spectra",1,55,209,163224,0.0680550061845131,0.222025078994107,"Milk"
"8","Ketosis",2,441,209,163224,0.110133279068634,0.291529268122855,"Health"
"40","Rear leg placement - side view",2,430,209,163224,0.105635377523117,0.291529268122855,"Exterior"
"39","Pregnancy rate",3,944,209,163224,0.121801157892783,0.304502894731957,"Reproduction"
"37","Myristic acid content",1,120,209,163224,0.14256374601286,0.337650977398879,"Meat and Carcass"
"6","Fat thickness at the 12th rib",1,169,209,163224,0.194785129212793,0.438266540728784,"Meat and Carcass"
"7","Foot angle",2,672,209,163224,0.212947466253146,0.456315999113884,"Exterior"
"13","Maturity rate",1,243,209,163224,0.267710722180026,0.507233061618723,"Production"
"17","Milk C18 index",1,246,209,163224,0.270524299529985,0.507233061618723,"Milk"
"42","Stillbirth",3,1363,209,163224,0.25443587880125,0.507233061618723,"Reproduction"
"18","Milk capric acid content",2,912,209,163224,0.325901594763734,0.564060452475693,"Milk"
"38","Net merit",2,903,209,163224,0.321696447745561,0.564060452475693,"Production"
"24","Milk lauric acid content",1,366,209,163224,0.374666428264084,0.60214247399585,"Milk"
"32","Milk protein yield",5,3093,209,163224,0.363344904619573,0.60214247399585,"Milk"
"41","Somatic cell score",2,1122,209,163224,0.421365908256046,0.65384365074214,"Health"
"5","Dairy form",1,514,209,163224,0.482947182692989,0.724420774039484,"Exterior"
"3","Calving ease",5,3819,209,163224,0.541994557780717,0.77259947571787,"Reproduction"
"9","Lean meat yield",1,621,209,163224,0.549404071621597,0.77259947571787,"Meat and Carcass"
"43","Strength",1,664,209,163224,0.573650808012401,0.781307528644347,"Exterior"
"45","Udder depth",1,695,209,163224,0.590321243864618,0.781307528644347,"Exterior"
"19","Milk caprylic acid content",1,811,209,163224,0.647144985631677,0.832043552955013,"Milk"
"10","Length of productive life",2,2004,209,163224,0.728086623588443,0.885510758418377,"Production"
"35","Milking speed",1,1011,209,163224,0.727302003331949,0.885510758418377,"Milk"
"2","Body weight gain",1,1354,209,163224,0.824843198264303,0.944058117475471,"Production"
"4","Conception rate",1,1255,209,163224,0.800951312834426,0.944058117475471,"Reproduction"
"11","Longissimus muscle area",1,1420,209,163224,0.839162771089308,0.944058117475471,"Meat and Carcass"
"12","Marbling score",1,1817,209,163224,0.90378044720744,0.983030599588605,"Meat and Carcass"
"34","Milk yield",5,6432,209,163224,0.917495226282698,0.983030599588605,"Milk"
"1","Body weight",2,4289,209,163224,0.974641824188842,0.996792774738589,"Production"
"21","Milk fat percentage",8,10941,209,163224,0.972627733295821,0.996792774738589,"Milk"
"22","Milk fat yield",1,8220,209,163224,0.999979735393905,0.999979735393905,"Milk"
