"","QTL","N_QTLs","N_QTLs_db","Total_annotated_QTLs","Total_QTLs_db","pvalue","adj.pval","QTL_type"
"11","Foot angle",6,672,128,163224,0.0000168759276453585,0.000565463622922803,"Exterior"
"32","Rear leg placement - side view",5,430,128,163224,0.0000251317165743468,0.000565463622922803,"Exterior"
"6","Calving ease",12,3819,128,163224,0.00005131699171879,0.000577316156836387,"Reproduction"
"31","Rear leg placement - rear view",5,491,128,163224,0.0000470987520280896,0.000577316156836387,"Exterior"
"28","Net merit",6,903,128,163224,0.0000862612088878688,0.000776350879990819,"Production"
"37","Stillbirth",7,1363,128,163224,0.000109694364687519,0.000822707735156392,"Reproduction"
"9","Feet and leg conformation",5,627,128,163224,0.000147584961654115,0.000948760467776455,"Exterior"
"44","Udder depth",5,695,128,163224,0.000237095410775491,0.00133366168561214,"Exterior"
"30","PTA type",4,627,128,163224,0.00157926774235381,0.00789633871176907,"Production"
"43","Udder attachment",4,655,128,163224,0.00185028008655531,0.0083262603894989,"Exterior"
"25","Milk tridecylic acid content",3,319,128,163224,0.00210736838710217,0.00847557415649574,"Milk"
"40","Teat placement - front",3,327,128,163224,0.00226015310839886,0.00847557415649574,"Exterior"
"10","Fertility index",2,108,128,163224,0.00333889742805282,0.0115577218663367,"Reproduction"
"12","Head width",1,6,128,163224,0.00469604733156048,0.0150944378514444,"Production"
"17","Length of productive life",6,2004,128,163224,0.00518611082069319,0.0155583324620796,"Production"
"33","Respiratory rate",1,9,128,163224,0.00703585914820626,0.0197883538543301,"Health"
"34","Rump conformation",1,13,128,163224,0.0101471207005184,0.0268600253837251,"Exterior"
"38","Strength",3,664,128,163224,0.0157175526889456,0.039293881722364,"Exterior"
"3","Body temperature",1,23,128,163224,0.017883022133797,0.0423545261063613,"Health"
"26","Muscle calcium content",1,40,128,163224,0.0308966271628938,0.069517411116511,"Meat and Carcass"
"27","Muscle sodium content",1,56,128,163224,0.0429883794522159,0.0921179559690341,"Meat and Carcass"
"14","Interval from first to last insemination",2,445,128,163224,0.0481346122927788,0.0984571615079566,"Reproduction"
"15","Interval to first estrus after calving",3,1053,128,163224,0.0505607454958099,0.0989231977091933,"Reproduction"
"45","Udder height",2,504,128,163224,0.0599662055029645,0.112436635318058,"Exterior"
"16","Intramuscular fat",1,117,128,163224,0.0877305212310272,0.157914938215849,"Meat and Carcass"
"8","Fat thickness at the 12th rib",1,169,128,163224,0.124228289213125,0.215010500561178,"Meat and Carcass"
"22","Milk glycosylated kappa-casein percentage",4,2527,128,163224,0.138082217240279,0.230137028733799,"Milk"
"1","Age at first calving",1,233,128,163224,0.167165210579589,0.268658374145768,"Reproduction"
"39","Teat length",1,300,128,163224,0.209877850674751,0.314816776012126,"Exterior"
"41","Teat placement - rear",1,298,128,163224,0.208634890626767,0.314816776012126,"Exterior"
"36","Somatic cell score",2,1122,128,163224,0.219989497432145,0.319339593046661,"Health"
"18","M. paratuberculosis susceptibility",1,492,128,163224,0.320609296874825,0.450856823730222,"Health"
"2","Body depth",1,616,128,163224,0.383790817561197,0.523351114856177,"Production"
"19","Marbling score",2,1817,128,163224,0.417599095538558,0.536913122835289,"Meat and Carcass"
"35","Shear force",3,2954,128,163224,0.409130714870463,0.536913122835289,"Meat and Carcass"
"24","Milk protein yield",3,3093,128,163224,0.438044495482995,0.547555619353744,"Milk"
"13","Inseminations per conception",1,790,128,163224,0.462734626331189,0.562785356348743,"Reproduction"
"29","Pregnancy rate",1,944,128,163224,0.524183072817348,0.620743112546859,"Reproduction"
"5","Bovine tuberculosis susceptibility",1,1155,128,163224,0.597203591251696,0.68908106682888,"Health"
"4","Body weight",1,4289,128,163224,0.966950576703616,0.971300822117692,"Production"
"7","Connective tissue amount",1,3142,128,163224,0.917003192659893,0.971300822117692,"Meat and Carcass"
"20","Milk fat percentage",5,10941,128,163224,0.935712189634933,0.971300822117692,"Milk"
"21","Milk fat yield",4,8220,128,163224,0.890696681138727,0.971300822117692,"Milk"
"23","Milk protein percentage",3,8803,128,163224,0.971300822117692,0.971300822117692,"Milk"
"42","Tenderness score",1,3483,128,163224,0.936835488490203,0.971300822117692,"Meat and Carcass"
