"","QTL","N_QTLs","N_QTLs_db","Total_annotated_QTLs","Total_QTLs_db","pvalue","adj.pval","QTL_type"
"172","Non-return rate",227,2312,4461,163224,0.000000000000000000000000000000000000000000000000000000000000410188170536691,0.0000000000000000000000000000000000000000000000000000000000890108330064619,"Reproduction"
"126","Milk myristic acid content",131,902,4461,163224,0.00000000000000000000000000000000000000000000000000000209591625127475,0.00000000000000000000000000000000000000000000000000022740691326331,"Milk"
"33","Clinical mastitis",84,466,4461,163224,0.00000000000000000000000000000000000000000111718845375054,0.0000000000000000000000000000000000000000808099648212887,"Health"
"10","Average daily gain",218,3140,4461,163224,0.0000000000000000000000000000000000431147934978917,0.00000000000000000000000000000000233897754726062,"Production"
"168","Myristic acid content",41,120,4461,163224,0.0000000000000000000000000000000017988084109624,0.000000000000000000000000000000078068285035768,"Meat and Carcass"
"120","Milk lauric acid content",60,366,4461,163224,0.000000000000000000000000000132611652133141,0.00000000000000000000000000479612141881528,"Milk"
"173","Oleic acid content",31,101,4461,163224,0.00000000000000000000000460580159583638,0.000000000000000000000142779849470928,"Meat and Carcass"
"135","Milk potassium content",67,570,4461,163224,0.0000000000000000000000315274646353284,0.000000000000000000000855182478233283,"Milk"
"76","Length of productive life",130,2004,4461,163224,0.000000000000000000529975162957968,0.0000000000000000127782900402088,"Production"
"96","Milk butyric acid content",71,828,4461,163224,0.0000000000000000683007158814358,0.00000000000000148212553462716,"Milk"
"100","Milk capric acid content",73,912,4461,163224,0.000000000000000936058343696768,0.0000000000000184658782347453,"Milk"
"134","Milk phosphorylated alpha-S2-casein percentage",31,228,4461,163224,0.000000000000295197106868366,0.00000000000533814768253628,"Milk"
"170","Myristoleic acid content",16,68,4461,163224,0.0000000000360673960541457,0.000000000602048072596124,"Meat and Carcass"
"175","Palmitoleic acid content",12,46,4461,163224,0.00000000280708925206204,0.0000000435098834069617,"Meat and Carcass"
"174","Palmitic acid content",7,12,4461,163224,0.00000000795857030420243,0.000000115133983734129,"Meat and Carcass"
"139","Milk protein yield",138,3093,4461,163224,0.0000000263539259513762,0.00000035742512071554,"Milk"
"95","Milk beta-lactoglobulin protein content",20,177,4461,163224,0.000000105310421390858,0.00000134425655540096,"Milk"
"9","Atherogenic index",5,8,4461,163224,0.000000795276342340283,0.0000095874981271023,"Meat and Carcass"
"22","Bovine respiratory disease susceptibility",46,789,4461,163224,0.00000203099925456192,0.0000231961493810493,"Health"
"73","Ketosis",30,441,4461,163224,0.00000640233023165585,0.000069465283013466,"Health"
"89","Metabolic body weight",154,4039,4461,163224,0.0000313579141168573,0.000324031779207525,"Production"
"114","Milk glycosylated kappa-casein percentage",102,2527,4461,163224,0.0000868852162039228,0.00085700417801142,"Milk"
"92","Milk alpha-S2-casein percentage",18,235,4461,163224,0.0000972566250138302,0.00091759511426092,"Milk"
"154","Monounsaturated fatty acid content",8,60,4461,163224,0.000223248481765059,0.00201853835595907,"Meat and Carcass"
"47","Eye area pigmentation",7,49,4461,163224,0.000355984244745612,0.00308994324439191,"Exterior"
"62","Infectious bovine keratoconjunctivitis susceptibility",5,24,4461,163224,0.000418791507213565,0.00349529834866707,"Health"
