Trait,Multiple_R_Squared,Adjusted_R_Squared,F_Statistic,P_Value
BMR,0.0400473,0.036326553,10.76324209,0.001178061
CO,0.028094889,0.024327815,7.458013557,0.006750998
MSL,0.019844525,0.016045473,5.223546359,0.023094605
CTFS,0.018522732,0.014718557,4.869053109,0.028223658
UT,0.016642456,0.012830993,4.366421751,0.037633444
MS,0.012855918,0.009029778,3.360022993,0.067949355
CK,0.010615614,0.006780791,2.768214795,0.097367446
IH,0.010122213,0.006285478,2.638235863,0.105540366
DD,0.01001612,0.006178974,2.610304167,0.107393548
CONF,0.009545191,0.005706219,2.486392429,0.116060007
UD,0.008529517,0.004686608,2.219546979,0.137494486
SU,0.00775897,0.003913075,2.017467779,0.156705591
MT,0.007627384,0.003780978,1.982990064,0.160279607
LP,0.007424163,0.003576969,1.9297608,0.165982434
MET,0.007064225,0.003215637,1.835536737,0.17666011
MR,0.00667554,0.002825445,1.733863677,0.189086651
DO,0.006079067,0.00222666,1.577992056,0.210186444
DHL,0.005289477,0.00143401,1.371941923,0.242559118
MOB,0.004736843,0.000879234,1.227922035,0.268843488
DF,0.004640206,0.000782222,1.20275411,0.273794493
FAT,0.004620405,0.000762345,1.197597989,0.274822916
SH,0.004323504,0.000464292,1.120307561,0.290842203
DS,0.00431208,0.000452825,1.117334789,0.291481802
FOOT,0.004300529,0.000441229,1.114328801,0.292130381
FA,0.004276152,0.000416757,1.107985011,0.293505219
PROT,0.004002593,0.000142138,1.036818985,0.309516332
WL,0.003826162,-3.50E-05,0.990941377,0.320445104
MDR,0.003809604,-5.16E-05,0.986636619,0.321496469
CA,0.003637948,-0.00022392,0.942017693,0.332668503
ME,0.003417568,-0.000445155,0.884756135,0.347782149
SCS,0.003131778,-0.000732052,0.810537117,0.368801072
FE,0.002887369,-0.000977408,0.74709847,0.388199325
FTP,0.002787354,-0.001077811,0.721147497,0.396555036
AFS,0.002521219,-0.001344977,0.652118765,0.420100061
UF,0.001868598,-0.002000128,0.483000819,0.487691629
ST,0.001804982,-0.00206399,0.466527552,0.495201882
MSP,0.001488962,-0.002381235,0.384725145,0.535632678
HL,0.001320511,-0.00255034,0.341142282,0.559680935
SCK,0.001141065,-0.002730482,0.29473101,0.587673301
TL,0.000900808,-0.00297167,0.232617946,0.629998342
LOC,0.0008542,-0.003018458,0.220572058,0.639001071
DA,0.000682606,-0.003190717,0.176232758,0.674980309
CW,0.000585889,-0.003287809,0.151247918,0.697666413
BCS,0.000359434,-0.003515142,0.092767229,0.760933775
RUM,0.000314904,-0.003559845,0.081270696,0.775811444
TU,0.000220414,-0.003654701,0.056879278,0.811687464
FL,0.000179277,-0.003695997,0.046261832,0.829870472
BQ,0.000169722,-0.003705589,0.043795712,0.834399296
HHE,5.21205645727083e-05,-0.003823646,0.013447807,0.907770746
MILK,5.20348467008825e-05,-0.003823732,0.013425689,0.907846281
HH,5.09045800653316e-05,-0.003824867,0.01313405,0.908848239
BD,2.92762926477563e-05,-0.003846579,0.007553505,0.930809749
DCA,4.62491885635027e-06,-0.003871326,0.001193235,0.972470682
FEED,5.89906709869136e-08,-0.00387591,1.52195940124378e-05,0.996890292
