Trait,Multiple_R_Squared,Adjusted_R_Squared,F_Statistic,P_Value,Coefficient,Coefficient_P_Value
CO,0.391361716,0.325775694,5.967151304,1.72344E-14,-11.18498787,0.00998613
BMR,0.389930668,0.324190438,5.931385835,2.17204E-14,14.46124438,0.013566534
LP,0.385832968,0.319651175,5.829896024,4.19445E-14,12.26199504,0.03303547
MILK,0.38500524,0.318734253,5.809559453,4.78708E-14,0.067115957,0.039665189
PROT,0.384183394,0.317823846,5.789421497,5.4569E-14,2.216639471,0.047630131
UT,0.382285862,0.315721838,5.743130316,7.37631E-14,-12.12384835,0.073155824
CK,0.380190626,0.313400822,5.692345342,1.02727E-13,12.73337094,0.119272588
HHE,0.379557869,0.312699881,5.677075832,1.13496E-13,7.400350529,0.138852476
MSP,0.379300591,0.312414878,5.670876158,1.18187E-13,-7.238895201,0.147815197
DA,0.37913915,0.312236041,5.666988512,1.21227E-13,10.803751,0.153769889
TU,0.378572171,0.311607965,5.65335117,1.32526E-13,-5.206463861,0.176940508
MSL,0.377709763,0.310652625,5.632655617,1.5173E-13,-8.623063415,0.220350909
BQ,0.377522361,0.310445029,5.628166044,1.56252E-13,-7.728489054,0.231376617
IH,0.37724564,0.310138489,5.621541598,1.63174E-13,-4.735491591,0.248896256
ST,0.376798032,0.309642647,5.610838719,1.75013E-13,-9.972164376,0.280812092
LOC,0.376688951,0.309521812,5.608232802,1.78025E-13,-7.236760867,0.289350941
FAT,0.376558428,0.309377224,5.605115803,1.81695E-13,0.852058101,0.300006155
UD,0.376351515,0.309148014,5.600177245,1.87666E-13,-9.329765105,0.317953285
CA,0.375741696,0.308472483,5.585641266,2.06412E-13,6.075689796,0.37987987
MS,0.375503829,0.308208983,5.579979012,2.14213E-13,-6.037574862,0.408591192
SCK,0.375436287,0.308134162,5.578372014,2.16481E-13,-4.416147276,0.41731654
SCS,0.37540331,0.308097632,5.577587543,2.17597E-13,3.908068071,0.421676894
IDD,0.37526766,0.307947365,5.574361476,2.22246E-13,3.70296008,0.4403519
FOOT,0.375183,0.307853582,5.572348767,2.25198E-13,17.33093597,0.45265482
TL,0.37508031,0.307739827,5.569908163,2.28829E-13,-6.658520379,0.468314034
MET,0.374905484,0.307546161,5.565754935,2.35145E-13,-3.40141908,0.49706556
CTFS,0.374759961,0.307384957,5.562299637,2.40533E-13,4.055771643,0.523338668
CONF,0.374613673,0.307222905,5.558827769,2.46071E-13,-4.789664265,0.552335151
FE,0.374507782,0.307105604,5.556315683,2.50158E-13,-2.93755857,0.575262699
HL,0.374398803,0.306984881,5.553731213,2.54434E-13,3.427441617,0.600910163
FA,0.374286964,0.306860991,5.551079859,2.58898E-13,-3.282164098,0.629865161
DD,0.374283641,0.306857309,5.551001079,2.59032E-13,2.540214124,0.630773014
MOB,0.374255631,0.306826281,5.550337208,2.60162E-13,3.059214642,0.63854418
FTP,0.374235939,0.306804467,5.549870511,2.6096E-13,4.858374253,0.644141879
BCS,0.374168095,0.306729312,5.548262872,2.63726E-13,2.669235223,0.664361498
HH,0.374075342,0.306626564,5.546065526,2.67555E-13,2.02302487,0.694778545
DF,0.374039177,0.306586502,5.545208946,2.69063E-13,2.368180576,0.707699621
FL,0.373982449,0.306523661,5.543865538,2.71445E-13,-2.171103543,0.729461325
UF,0.37396053,0.30649938,5.543346523,2.72371E-13,2.888068266,0.738441311
MDR,0.373885525,0.306416292,5.541570761,2.75562E-13,1.849537292,0.772255845
WL,0.373854769,0.306382223,5.540842738,2.76882E-13,1.264302849,0.787880072
AFS,0.373829266,0.306353971,5.540239097,2.77981E-13,1.581438015,0.801867007
RUM,0.373802325,0.306324128,5.539601504,2.79146E-13,-1.257456078,0.817911315
SH,0.373801537,0.306323254,5.539582841,2.7918E-13,1.034284269,0.818403972
BD,0.373695771,0.306206091,5.537080207,2.83803E-13,0.761319913,0.907101664
MR,0.3736957,0.306206013,5.537078546,2.83806E-13,0.629175225,0.907189819
SU,0.373687141,0.306196531,5.53687605,2.84183E-13,0.474553823,0.918663356
FEED,0.373681842,0.306190661,5.536750684,2.84417E-13,0.394474637,0.926675311
DHL,0.37367744,0.306185785,5.536646558,2.84612E-13,-0.591977558,0.934075335
DO,0.373675656,0.306183808,5.536604347,2.8469E-13,0.522072338,0.937326112
DS,0.373669453,0.306176937,5.536457615,2.84965E-13,0.397913226,0.950266848
CW,0.373667627,0.306174915,5.536414423,2.85045E-13,0.3562368,0.954780799
ME,0.373665767,0.306172854,5.536370419,2.85128E-13,-0.240197597,0.95990122
MT,0.373659513,0.306165926,5.536222482,2.85405E-13,-0.097638613,0.988264198
DCA,0.3736593,0.30616569,5.536217437,2.85414E-13,0.080255529,0.990643241
