"","SNP","rsID","CHR","QTL_type","start_pos","end_pos","QTL_ID"
"1","Hapmap60503-rs29018741","rs29018741",4,"Milk",7839854,7839858,"118382"
"2","Hapmap60503-rs29018741","rs29018741",4,"Milk",7851689,7851693,"118383"
"3","Hapmap60503-rs29018741","rs29018741",4,"Milk",7878682,7878686,"113676"
"4","Hapmap60503-rs29018741","rs29018741",4,"Milk",7878682,7878686,"118072"
"5","Hapmap60681-rs29013301","rs29013301",4,"Meat_and_Carcass",24248260,24248264,"228128"
"6","Hapmap60681-rs29013301","rs29013301",4,"Reproduction",24279008,24279012,"212516"
"7","Hapmap60681-rs29013301","rs29013301",4,"Meat_and_Carcass",24288010,24288014,"107768"
"8","Hapmap60681-rs29013301","rs29013301",4,"Meat_and_Carcass",24288010,24288014,"107796"
"9","Hapmap59011-rs29027498","rs29027498",4,"Exterior",26511446,26511450,"66124"
"10","Hapmap59743-rs29017061","rs29017061",4,"Production",27014514,27014518,"65173"
"11","ARS-BFGL-NGS-12139","rs110160157",4,"Meat_and_Carcass",50781007,50781011,"228112"
"12","ARS-BFGL-NGS-110705","rs110079750",4,"Health",103949847,103949851,"96218"
"13","ARS-BFGL-NGS-110705","rs110079750",4,"Meat_and_Carcass",104013536,104013540,"231600"
"14","ARS-BFGL-NGS-45265","rs110935391",4,"Reproduction",107749162,107749166,"106782"
"15","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46449873,46449877,"162016"
"16","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46449873,46449877,"163641"
"17","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46452018,46452022,"162017"
"18","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46452018,46452022,"163642"
"19","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46455275,46455279,"163230"
"20","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46455275,46455279,"163643"
"21","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46457135,46457139,"163231"
"22","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46457135,46457139,"163644"
"23","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46460742,46460746,"163159"
"24","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46460742,46460746,"163583"
"25","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46463937,46463941,"163232"
"26","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46463937,46463941,"163645"
"27","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46474328,46474332,"162015"
"28","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46474328,46474332,"163640"
"29","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46474997,46475001,"162014"
"30","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46474997,46475001,"163639"
"31","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46476243,46476247,"162013"
"32","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46476243,46476247,"163638"
"33","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46476816,46476820,"162012"
"34","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46476816,46476820,"163637"
"35","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46480499,46480503,"161948"
"36","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46480499,46480503,"162037"
"37","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46481110,46481114,"161941"
"38","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46481110,46481114,"162030"
"39","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46481709,46481713,"162019"
"40","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46481709,46481713,"162100"
"41","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46482674,46482678,"162020"
"42","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46482674,46482678,"162101"
"43","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46483484,46483488,"162021"
"44","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46483484,46483488,"162102"
"45","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46529284,46529288,"163162"
"46","ARS-BFGL-NGS-12510","rs110038841",17,"Milk",46529284,46529288,"163584"
"47","ARS-BFGL-NGS-87412","rs109273103",17,"Milk",47837023,47837027,"162764"
"48","ARS-BFGL-NGS-87412","rs109273103",17,"Milk",47844960,47844964,"162876"
"49","ARS-BFGL-NGS-87412","rs109273103",17,"Milk",47851806,47851810,"162921"
"50","ARS-BFGL-NGS-87412","rs109273103",17,"Milk",47855252,47855256,"162648"
"51","ARS-BFGL-NGS-87412","rs109273103",17,"Production",47856400,47856404,"23869"
"52","ARS-BFGL-NGS-87412","rs109273103",17,"Production",47856400,47856404,"68904"
"53","ARS-BFGL-NGS-87412","rs109273103",17,"Exterior",47856400,47856404,"102064"
"54","ARS-BFGL-NGS-87412","rs109273103",17,"Exterior",47884495,47884499,"102065"
"55","ARS-BFGL-NGS-87412","rs109273103",17,"Milk",47924476,47924480,"163030"
"56","ARS-BFGL-NGS-87412","rs109273103",17,"Milk",47924476,47924480,"163517"
"57","ARS-BFGL-NGS-87412","rs109273103",17,"Milk",47926919,47926923,"162858"
"58","ARS-BFGL-NGS-87412","rs109273103",17,"Milk",47926919,47926923,"163422"
"59","ARS-BFGL-NGS-112149","rs109276211",17,"Milk",48759668,48759672,"63966"
"60","ARS-BFGL-NGS-112210","rs109631116",21,"Reproduction",4074797,4074801,"145524"
"61","ARS-BFGL-NGS-112210","rs109631116",21,"Reproduction",4079204,4079208,"145458"
"62","ARS-BFGL-NGS-112210","rs109631116",21,"Reproduction",4079247,4079251,"145445"
"63","ARS-BFGL-NGS-112210","rs109631116",21,"Reproduction",4085667,4085671,"145389"
"64","ARS-BFGL-NGS-112210","rs109631116",21,"Reproduction",4085667,4085671,"146710"
"65","ARS-BFGL-NGS-112210","rs109631116",21,"Reproduction",4085817,4085821,"146703"
"66","ARS-BFGL-NGS-115605","rs42029843",23,"Milk",44787659,44787663,"254748"
"67","ARS-BFGL-NGS-115605","rs42029843",23,"Milk",44789048,44789052,"254706"
"68","ARS-BFGL-NGS-115605","rs42029843",23,"Meat_and_Carcass",44807487,44807491,"226965"
"69","ARS-BFGL-NGS-115605","rs42029843",23,"Meat_and_Carcass",44807487,44807491,"229458"
"70","ARS-BFGL-NGS-115605","rs42029843",23,"Meat_and_Carcass",44807487,44807491,"234754"
"71","ARS-BFGL-NGS-115605","rs42029843",23,"Milk",44808987,44808991,"254767"
"72","ARS-BFGL-NGS-115605","rs42029843",23,"Milk",44830780,44830784,"254833"
"73","ARS-BFGL-NGS-115605","rs42029843",23,"Milk",44834127,44834131,"254725"
"74","ARS-BFGL-NGS-115605","rs42029843",23,"Milk",44845256,44845260,"254688"
"75","ARS-BFGL-NGS-115605","rs42029843",23,"Milk",44848146,44848150,"254689"
"76","ARS-BFGL-NGS-115605","rs42029843",23,"Milk",44859653,44859657,"254769"
"77","ARS-BFGL-NGS-116552","rs110428837",28,"Milk",20016670,20016674,"112226"
"78","ARS-BFGL-NGS-116552","rs110428837",28,"Milk",20016670,20016674,"118869"
"79","ARS-BFGL-NGS-116552","rs110428837",28,"Milk",20017763,20017767,"112227"
"80","ARS-BFGL-NGS-116552","rs110428837",28,"Milk",20017763,20017767,"118870"
"81","ARS-BFGL-NGS-116552","rs110428837",28,"Milk",20045011,20045015,"118664"
"82","ARS-BFGL-NGS-116552","rs110428837",28,"Milk",20060184,20060188,"118665"
"83","ARS-BFGL-NGS-71077","rs109584097",28,"Reproduction",35807364,35807368,"138601"
"84","ARS-BFGL-NGS-71077","rs109584097",28,"Reproduction",35807364,35807368,"138602"
"85","ARS-BFGL-NGS-118207","rs110081798",3,"Meat_and_Carcass",110866521,110866525,"152332"
"86","ARS-BFGL-NGS-74948","rs41585925",3,"Health",111487002,111487006,"137202"
"87","ARS-BFGL-NGS-74948","rs41585925",3,"Health",111487002,111487006,"170274"
"88","ARS-BFGL-NGS-74948","rs41585925",3,"Health",111509252,111509256,"170275"
"89","ARS-BFGL-NGS-74948","rs41585925",3,"Health",111515878,111515882,"170276"
"90","BTB-01641394","rs42752353",3,"Reproduction",111708234,111708238,"30008"
"91","ARS-BFGL-NGS-37809","rs42751504",3,"Reproduction",111708234,111708238,"30008"
"92","BTB-01641394","rs42752353",3,"Reproduction",111708234,111708238,"30244"
"93","ARS-BFGL-NGS-37809","rs42751504",3,"Reproduction",111708234,111708238,"30244"
"94","BTB-01641394","rs42752353",3,"Meat_and_Carcass",111708234,111708238,"152258"
"95","ARS-BFGL-NGS-37809","rs42751504",3,"Meat_and_Carcass",111708234,111708238,"152258"
"96","BTB-01641394","rs42752353",3,"Meat_and_Carcass",111717521,111717525,"225527"
"97","ARS-BFGL-NGS-37809","rs42751504",3,"Meat_and_Carcass",111717521,111717525,"225527"
"98","BTB-00594449","rs41764450",15,"Production",33066382,33066386,"68791"
"99","BTB-00594449","rs41764450",15,"Meat_and_Carcass",33107568,33107572,"228743"
"100","ARS-BFGL-NGS-30515","rs110565206",15,"Milk",57892792,57892796,"242339"
"101","ARS-BFGL-NGS-30515","rs110565206",15,"Milk",57914040,57914044,"248429"
"102","ARS-BFGL-NGS-30515","rs110565206",15,"Milk",57926776,57926780,"242396"
"103","ARS-BFGL-NGS-30515","rs110565206",15,"Milk",57926776,57926780,"248428"
"104","ARS-BFGL-NGS-30515","rs110565206",15,"Milk",57949776,57949780,"242391"
"105","ARS-BFGL-NGS-41631","rs110121846",29,"Production",33039861,33039865,"69450"
"106","ARS-BFGL-NGS-41631","rs110121846",29,"Production",33039861,33039865,"69451"
"107","ARS-BFGL-NGS-82859","rs110506037",14,"Milk",15895119,15895123,"25606"
"108","ARS-BFGL-NGS-82859","rs110506037",14,"Milk",15895119,15895123,"26355"
"109","ARS-BFGL-NGS-82859","rs110506037",14,"Meat_and_Carcass",15895119,15895123,"36989"
"110","ARS-BFGL-NGS-82859","rs110506037",14,"Milk",15904094,15904098,"104606"
"111","ARS-BFGL-NGS-82859","rs110506037",14,"Milk",15905538,15905542,"104607"
"112","ARS-BFGL-NGS-82859","rs110506037",14,"Exterior",15929820,15929824,"220989"
"113","ARS-BFGL-NGS-82859","rs110506037",14,"Production",15964283,15964287,"122755"
"114","ARS-BFGL-NGS-82859","rs110506037",14,"Production",15964283,15964287,"123539"
"115","ARS-BFGL-NGS-82859","rs110506037",14,"Production",15965017,15965021,"122756"
"116","ARS-BFGL-NGS-82859","rs110506037",14,"Production",15965017,15965021,"123540"
"117","ARS-BFGL-NGS-82859","rs110506037",14,"Production",15967515,15967519,"122757"
"118","ARS-BFGL-NGS-82859","rs110506037",14,"Production",15967515,15967519,"123541"
"119","ARS-BFGL-NGS-82859","rs110506037",14,"Production",15969384,15969388,"122758"
"120","ARS-BFGL-NGS-82859","rs110506037",14,"Production",15969384,15969388,"123542"
"121","ARS-BFGL-NGS-82859","rs110506037",14,"Production",15972216,15972220,"122759"
"122","ARS-BFGL-NGS-82859","rs110506037",14,"Production",15972216,15972220,"123543"
"123","ARS-BFGL-NGS-82859","rs110506037",14,"Production",15977822,15977826,"122760"
"124","ARS-BFGL-NGS-82859","rs110506037",14,"Production",15977822,15977826,"123544"
"125","ARS-BFGL-NGS-91119","rs109575643",20,"Milk",65321359,65321363,"176120"
"126","ARS-BFGL-NGS-91119","rs109575643",20,"Milk",65350145,65350149,"69962"
"127","ARS-BFGL-NGS-91119","rs109575643",20,"Milk",65352215,65352219,"69963"
"128","ARS-BFGL-NGS-91119","rs109575643",20,"Milk",65357974,65357978,"69964"
"129","ARS-BFGL-NGS-91119","rs109575643",20,"Milk",65363596,65363600,"69626"
"130","ARS-BFGL-NGS-91119","rs109575643",20,"Health",65367232,65367236,"167647"
"131","BTB-00096979","rs43305418",2,"Health",41584083,41584087,"32371"
"132","BTB-00096979","rs43305418",2,"Milk",41646649,41646653,"113699"
"133","Hapmap48777-BTA-47434","rs41636137",2,"Milk",41646649,41646653,"113699"
"134","Hapmap48777-BTA-47434","rs41636137",2,"Milk",41668170,41668174,"113700"
"135","Hapmap48777-BTA-47434","rs41636137",2,"Meat_and_Carcass",41676143,41676147,"154062"
"136","Hapmap48777-BTA-47434","rs41636137",2,"Reproduction",41693862,41693866,"29899"
"137","Hapmap53065-rs29026778","rs29026778",2,"Milk",118779183,118779187,"200902"
"138","Hapmap53065-rs29026778","rs29026778",2,"Milk",118779985,118779989,"202500"
"139","Hapmap53065-rs29026778","rs29026778",2,"Milk",118781186,118781190,"202905"
"140","Hapmap53065-rs29026778","rs29026778",2,"Milk",118785252,118785256,"201638"
"141","Hapmap53065-rs29026778","rs29026778",2,"Milk",118789209,118789213,"202885"
"142","Hapmap53065-rs29026778","rs29026778",2,"Reproduction",118820216,118820220,"39599"
"143","Hapmap53065-rs29026778","rs29026778",2,"Reproduction",118820216,118820220,"39600"
"144","Hapmap53065-rs29026778","rs29026778",2,"Reproduction",118820216,118820220,"39601"
"145","Hapmap53065-rs29026778","rs29026778",2,"Exterior",118820216,118820220,"39602"
"146","Hapmap53065-rs29026778","rs29026778",2,"Exterior",118820216,118820220,"39603"
"147","Hapmap53065-rs29026778","rs29026778",2,"Milk",118820216,118820220,"39604"
"148","Hapmap53065-rs29026778","rs29026778",2,"Production",118820216,118820220,"39605"
"149","Hapmap53065-rs29026778","rs29026778",2,"Exterior",118820216,118820220,"39606"
"150","Hapmap53065-rs29026778","rs29026778",2,"Milk",118820216,118820220,"39607"
"151","Hapmap53065-rs29026778","rs29026778",2,"Production",118820216,118820220,"39608"
"152","Hapmap53065-rs29026778","rs29026778",2,"Production",118820216,118820220,"39609"
"153","Hapmap53065-rs29026778","rs29026778",2,"Exterior",118820216,118820220,"39610"
"154","Hapmap53065-rs29026778","rs29026778",2,"Exterior",118820216,118820220,"39611"
"155","Hapmap53065-rs29026778","rs29026778",2,"Production",118820216,118820220,"39612"
"156","Hapmap53065-rs29026778","rs29026778",2,"Reproduction",118820216,118820220,"39613"
"157","Hapmap53065-rs29026778","rs29026778",2,"Health",118820216,118820220,"39614"
"158","Hapmap53065-rs29026778","rs29026778",2,"Exterior",118820216,118820220,"39615"
"159","Hapmap53065-rs29026778","rs29026778",2,"Exterior",118820216,118820220,"39616"
"160","Hapmap53065-rs29026778","rs29026778",2,"Reproduction",118820216,118820220,"125235"
"161","Hapmap23854-BTC-062412","rs81154019",6,"Milk",36141496,36141500,"244115"
"162","Hapmap23854-BTC-062412","rs81154019",6,"Milk",36141496,36141500,"246435"
"163","Hapmap23854-BTC-062412","rs81154019",6,"Milk",36141496,36141500,"250700"
"164","Hapmap23854-BTC-062412","rs81154019",6,"Production",36143407,36143411,"190189"
"165","Hapmap23854-BTC-062412","rs81154019",6,"Production",36143929,36143933,"187391"
"166","Hapmap23854-BTC-062412","rs81154019",6,"Production",36145023,36145027,"183480"
"167","Hapmap23854-BTC-062412","rs81154019",6,"Production",36145023,36145027,"190272"
"168","Hapmap23854-BTC-062412","rs81154019",6,"Production",36145254,36145258,"182513"
"169","Hapmap23854-BTC-062412","rs81154019",6,"Production",36145254,36145258,"186692"
"170","Hapmap23854-BTC-062412","rs81154019",6,"Production",36147416,36147420,"187702"
"171","Hapmap23854-BTC-062412","rs81154019",6,"Production",36147705,36147709,"186912"
"172","Hapmap23854-BTC-062412","rs81154019",6,"Production",36148373,36148377,"182603"
"173","Hapmap23854-BTC-062412","rs81154019",6,"Production",36148373,36148377,"188134"
"174","Hapmap23854-BTC-062412","rs81154019",6,"Production",36149039,36149043,"186551"
"175","Hapmap23854-BTC-062412","rs81154019",6,"Production",36150874,36150878,"183765"
"176","Hapmap23854-BTC-062412","rs81154019",6,"Production",36150874,36150878,"186794"
"177","Hapmap23854-BTC-062412","rs81154019",6,"Production",36151323,36151327,"183528"
"178","Hapmap23854-BTC-062412","rs81154019",6,"Production",36151323,36151327,"187598"
"179","Hapmap23854-BTC-062412","rs81154019",6,"Production",36153011,36153015,"188352"
"180","Hapmap23854-BTC-062412","rs81154019",6,"Production",36154453,36154457,"188950"
"181","Hapmap23854-BTC-062412","rs81154019",6,"Production",36156604,36156608,"187155"
"182","Hapmap23854-BTC-062412","rs81154019",6,"Production",36156892,36156896,"183350"
"183","Hapmap23854-BTC-062412","rs81154019",6,"Production",36156892,36156896,"187196"
"184","Hapmap23854-BTC-062412","rs81154019",6,"Production",36157620,36157624,"23700"
"185","Hapmap23854-BTC-062412","rs81154019",6,"Production",36157620,36157624,"66352"
"186","Hapmap23854-BTC-062412","rs81154019",6,"Production",36157620,36157624,"66353"
"187","Hapmap23854-BTC-062412","rs81154019",6,"Production",36157620,36157624,"66354"
"188","Hapmap23854-BTC-062412","rs81154019",6,"Production",36157620,36157624,"66355"
"189","Hapmap23854-BTC-062412","rs81154019",6,"Production",36157620,36157624,"67222"
"190","Hapmap23854-BTC-062412","rs81154019",6,"Production",36157620,36157624,"67223"
"191","Hapmap23854-BTC-062412","rs81154019",6,"Production",36157620,36157624,"164068"
"192","Hapmap23854-BTC-062412","rs81154019",6,"Production",36157620,36157624,"164167"
"193","Hapmap23854-BTC-062412","rs81154019",6,"Meat_and_Carcass",36157620,36157624,"164343"
"194","Hapmap23854-BTC-062412","rs81154019",6,"Production",36157620,36157624,"164369"
"195","Hapmap23854-BTC-062412","rs81154019",6,"Production",36157620,36157624,"164488"
"196","Hapmap23854-BTC-062412","rs81154019",6,"Production",36157620,36157624,"183351"
"197","Hapmap23854-BTC-062412","rs81154019",6,"Production",36157620,36157624,"186777"
"198","Hapmap23854-BTC-062412","rs81154019",6,"Production",36157986,36157990,"187308"
"199","Hapmap23854-BTC-062412","rs81154019",6,"Production",36158359,36158363,"187062"
"200","Hapmap23854-BTC-062412","rs81154019",6,"Production",36158498,36158502,"186952"
"201","Hapmap23854-BTC-062412","rs81154019",6,"Production",36159606,36159610,"183352"
"202","Hapmap23854-BTC-062412","rs81154019",6,"Production",36159606,36159610,"187046"
"203","Hapmap23854-BTC-062412","rs81154019",6,"Production",36160694,36160698,"187096"
"204","Hapmap23854-BTC-062412","rs81154019",6,"Production",36161273,36161277,"187575"
"205","Hapmap23854-BTC-062412","rs81154019",6,"Production",36161375,36161379,"186498"
"206","Hapmap23854-BTC-062412","rs81154019",6,"Production",36161625,36161629,"187580"
"207","Hapmap23854-BTC-062412","rs81154019",6,"Production",36161633,36161637,"187885"
"208","Hapmap23854-BTC-062412","rs81154019",6,"Production",36162950,36162954,"187283"
