"","V1","V2","LOG_P","SNP","CHR","BP","chr","start_pos","end_pos","width","strand","gene_id","gene_name","gene_biotype"
"1",1,3,4.4209621867,4632,2,118820218,"2",118803760,118824701,20942,"+","ENSBTAG00000030718","SPATA3","protein_coding"
"2",1,3,4.4209621867,4632,2,118820218,"2",118831062,118836777,5716,"+","ENSBTAG00000054626",NA,"lncRNA"
"3",1,3,4.4209621867,4632,2,118820218,"2",118846915,118854132,7218,"+","ENSBTAG00000026710","C2H2orf72","protein_coding"
"4",1,3,4.4209621867,4632,2,118820218,"2",118865174,118946608,81435,"+","ENSBTAG00000005119","PSMD1","protein_coding"
"5",1,3,4.3772838721,3498,2,41670655,"2",41676135,42259624,583490,"-","ENSBTAG00000005562","GALNT13","protein_coding"
"6",1,3,4.8159428495,6862,3,110866523,"3",110769753,110827938,58186,"+","ENSBTAG00000013867","DLGAP3","protein_coding"
"7",1,3,4.8159428495,6862,3,110866523,"3",110835276,110839536,4261,"+","ENSBTAG00000014235","SMIM12","protein_coding"
"8",1,3,4.8159428495,6862,3,110866523,"3",110888198,110890904,2707,"-","ENSBTAG00000013881","GJA4","protein_coding"
"9",1,3,4.8159428495,6862,3,110866523,"3",110900183,110905849,5667,"-","ENSBTAG00000012584","GJB3","protein_coding"
"10",1,3,4.7603506593,6873,3,111526170,"3",111552563,111568286,15724,"-","ENSBTAG00000020798","C3H1orf94","protein_coding"
"11",1,3,4.3907066994,6880,3,111730561,"3",111603940,112289188,685249,"+","ENSBTAG00000005784","CSMD2","protein_coding"
"12",1,3,4.3907066994,6881,3,111751663,"3",111603940,112289188,685249,"+","ENSBTAG00000005784","CSMD2","protein_coding"
"13",1,3,5.0887375853,6882,3,111772736,"3",111603940,112289188,685249,"+","ENSBTAG00000005784","CSMD2","protein_coding"
"14",1,3,4.5376617947,7515,4,26511448,"4",26324012,26469689,145678,"-","ENSBTAG00000014074","SNX13","protein_coding"
"15",1,3,5.4850630615,7526,4,27094376,"4",27093041,27667961,574921,"+","ENSBTAG00000003808","HDAC9","protein_coding"
"16",1,3,4.8251028051,8704,4,95650788,"4",95631850,95631921,72,"-","ENSBTAG00000045386","bta-mir-320b","miRNA"
"17",1,3,5.5910060182,8831,4,103979600,"4",103877533,103947944,70412,"-","ENSBTAG00000004799","DENND2A","protein_coding"
"18",1,3,5.5910060182,8831,4,103979600,"4",103994401,104008963,14563,"+","ENSBTAG00000020484","ADCK2","protein_coding"
"19",1,3,5.5910060182,8831,4,103979600,"4",104013524,104019157,5634,"+","ENSBTAG00000021759","NDUFB2","protein_coding"
"20",1,3,5.5910060182,8831,4,103979600,"4",104027627,104194547,166921,"-","ENSBTAG00000021761","BRAF","protein_coding"
"21",1,3,5.3756277477,8888,4,107787202,"4",107701708,108020989,319282,"+","ENSBTAG00000054424",NA,"protein_coding"
"22",1,3,5.3756277477,8888,4,107787202,"4",107718449,108101163,382715,"-","ENSBTAG00000017676","TPK1","protein_coding"
"23",1,3,4.7098821442,8904,4,109568557,"4",109526182,109526350,169,"-","ENSBTAG00000053666",NA,"misc_RNA"
"24",1,3,4.6107671076,7184,4,7873471,"4",7867490,7867588,99,"-","ENSBTAG00000045389","U6","snRNA"
"25",1,3,5.0159046126,7910,4,50755462,"4",50743789,50957593,213805,"-","ENSBTAG00000006589","CFTR","protein_coding"
"26",1,3,4.7581104442,11511,6,36184467,"6",36052150,36198478,146329,"-","ENSBTAG00000010120","HERC3","protein_coding"
"27",1,3,4.6096912676,14772,7,110306791,"7",110296879,110565532,268654,"+","ENSBTAG00000035662","CAMK4","protein_coding"
"28",1,3,4.8281904216,20558,11,19779915,"11",19680235,19765027,84793,"-","ENSBTAG00000001114","PRKD3","protein_coding"
"29",1,3,4.8281904216,20558,11,19779915,"11",19792170,19822758,30589,"+","ENSBTAG00000013923","QPCT","protein_coding"
"30",1,3,5.4674390151,25167,14,15929822,"14",15865228,15995482,130255,"-","ENSBTAG00000013537","FER1L6","protein_coding"
"31",1,3,5.4674390151,25167,14,15929822,"14",15914441,15917042,2602,"+","ENSBTAG00000048373",NA,"protein_coding"
"32",1,3,5.0412707242,26782,15,33066384,"15",32820702,33050885,230184,"-","ENSBTAG00000054820",NA,"lncRNA"
"33",1,3,4.5477665054,29742,17,46487068,"17",46406767,46715519,308753,"+","ENSBTAG00000009797","RIMBP2","protein_coding"
"34",1,3,6.6223537303,29772,17,47884497,"17",47426664,48084896,658233,"+","ENSBTAG00000002950","TMEM132D","protein_coding"
"35",1,3,5.2689399437,29784,17,48800954,"17",48417339,48868560,451222,"-","ENSBTAG00000046256","TMEM132C","protein_coding"
"36",1,3,4.8912057152,33665,20,65351653,"20",65311530,65343117,31588,"-","ENSBTAG00000009401","MTRR","protein_coding"
"37",1,3,4.8912057152,33665,20,65351653,"20",65343172,65354775,11604,"+","ENSBTAG00000009400","FASTKD3","protein_coding"
"38",1,3,4.8912057152,33665,20,65351653,"20",65368557,65384042,15486,"+","ENSBTAG00000055034","CFAP90","protein_coding"
"39",1,3,4.8912057152,33665,20,65351653,"20",65388705,65842986,454282,"-","ENSBTAG00000019210","ADCY2","protein_coding"
"40",1,3,4.4939377181,33836,21,4055731,"21",3866347,4146441,280095,"-","ENSBTAG00000013422","GABRB3","protein_coding"
"41",1,3,4.3164338541,36688,23,44822126,"23",44802116,44835671,33556,"-","ENSBTAG00000010256","TMEM170B","protein_coding"
"42",1,3,4.4580184975,36876,24,857728,"24",779627,866891,87265,"-","ENSBTAG00000000656","NFATC1","protein_coding"
"43",1,3,4.4580184975,36876,24,857728,"24",879074,1029386,150313,"-","ENSBTAG00000001224","ATP9B","protein_coding"
