Chr,,15%,5%,5-15%,logP
28,BTA-99379-no-rs,X,X,,6.61097043
22,ARS-BFGL-NGS-23411,X,X,,5.48554124
22,ARS-BFGL-NGS-26419,X,X,,5.272074229
26,BTA-62125-no-rs,X,X,,4.73215505
26,BTB-00926636,X,X,,4.73215505
11,BTB-01060598,X,X,,4.68253214
20,BTB-01471673,X,,X,4.182973702
23,Hapmap54016-rs29022819,X,,X,4.016453544
28,ARS-BFGL-NGS-11935,X,,X,3.986177245
28,Hapmap43005-BTA-64606,X,,X,3.986177245
11,BTA-122098-no-rs,X,,X,3.980028431
19,ARS-BFGL-NGS-29119,X,,X,3.92546148
14,Hapmap39823-BTA-35254,X,,X,3.905277382
19,ARS-BFGL-NGS-28901,X,,X,3.888441783
3,ARS-BFGL-NGS-4585,X,,X,3.885943078
14,UA-IFASA-7664,X,,X,3.882503328
