VEP,rs,SNP,Chr,bp,A1,A2,Freq,Haploview Order,Block
yes,rs109888380,ARS-BFGL-NGS-4585,3,107160292,A,C,0.335317,1818,
yes,rs41624254,BTA-122098-no-rs,11,31882807,A,C,0.444444,674,
no,rs42217767,BTB-01060598,11,32301594,C,A,0.450397,680,
yes,rs41632193,Hapmap39823-BTA-35254,14,64061208,A,C,0.291667,1196,
yes,rs41632223,UA-IFASA-7664,14,64299714,C,A,0.267857,1200,
yes,rs109751680,ARS-BFGL-NGS-28901,19,42338148,C,A,0.371032,713,
yes,rs41577586,ARS-BFGL-NGS-29119,19,49744592,A,C,0.404762,849,Block 38
yes,rs42590312,BTB-01471673,20,11545685,A,C,0.246032,232,
yes,rs110031217,ARS-BFGL-NGS-23411,22,5134078,A,C,0.186508,88,
yes,rs110991998,ARS-BFGL-NGS-26419,22,46052082,A,C,0.0813492,762,
no,rs29022819,Hapmap54016-rs29022819,23,33609998,C,A,0.190476,534,
yes,rs41644634,BTA-62125-no-rs,26,17899619,C,A,0.0257937,297,Block 10
yes,rs42089058,BTB-00926636,26,17857480,C,A,0.0257937,296,Block 10
yes,rs109578343,ARS-BFGL-NGS-11935,28,44942879,A,C,0.0297619,773,
yes,rs41567074,BTA-99379-no-rs,28,41666186,A,C,0.0496032,701,
yes,rs41648479,Hapmap43005-BTA-64606,28,45805105,A,C,0.0297619,791,Block 21
