"","CHR","BP","SNP_ID","Var"
"1",1,101633865,"BTB-00807137",0.101190287
"2",1,101656030,"BTB-00807095",0.2310848295
"3",1,101729648,"BTA-51653-no-rs",0.1240283663
"4",1,101758062,"BTB-00047321",0.1695201994
"5",1,101780022,"ARS-BFGL-NGS-35839",0.12943177
"6",1,101894473,"ARS-BFGL-NGS-11628",0.193869996
"7",1,101978904,"BTA-46150-no-rs",0.1424979462
"8",1,102023440,"ARS-BFGL-NGS-54096",0.1921858156
"9",1,102050836,"ARS-BFGL-BAC-4585",0.1247981517
"10",1,103234850,"BTB-00046247",0.1158038812
"11",1,103306203,"BTB-02007023",0.123294734
"12",1,103339600,"Hapmap42893-BTA-27908",0.1289964344
"13",1,103405790,"BTB-01831301",0.1173549822
"14",1,103442322,"BTB-01579680",0.1228150674
"15",1,103465675,"BTB-01579733",0.1250532552
"16",1,129991566,"ARS-BFGL-NGS-29033",0.1062038955
"17",1,130055180,"ARS-BFGL-NGS-44711",0.181720867
"18",1,130171002,"ARS-BFGL-NGS-6392",0.2399317099
"19",1,130204834,"ARS-BFGL-NGS-56582",0.3492379809
"20",1,130225374,"BTB-00058404",0.3332314002
"21",1,130269306,"ARS-BFGL-NGS-117553",0.3155001262
"22",1,130333549,"BTA-53036-no-rs",0.2752237957
"23",1,130363507,"BTA-53040-no-rs",0.3226768535
"24",1,130404213,"ARS-BFGL-BAC-5990",0.2582973787
"25",1,130441749,"ARS-BFGL-NGS-111760",0.246113482
"26",1,130473510,"BTB-00058659",0.1743536037
"27",1,141713562,"ARS-BFGL-NGS-114130",0.102754958
"28",1,141793240,"ARS-BFGL-NGS-31728",0.103890286
"29",1,62768510,"Hapmap49510-BTA-17452",0.1013705564
"30",1,7164618,"BTA-44295-no-rs",0.1006185276
"31",1,7260253,"BTA-45181-no-rs",0.1202808164
"32",1,93906113,"BTB-01087150",0.1025506667
"33",1,93981570,"Hapmap42095-BTA-120006",0.1232220522
"34",1,94035144,"ARS-BFGL-NGS-14083",0.1086709647
"35",1,94088505,"ARS-BFGL-NGS-106939",0.1432500117
"36",1,94134092,"BTB-01086885",0.1064177633
"37",1,96716076,"ARS-BFGL-NGS-4387",0.1049353105
"38",1,96747618,"ARS-BFGL-NGS-96411",0.1863715581
"39",1,96820888,"Hapmap42551-BTA-43327",0.1504778032
"40",1,96856897,"ARS-BFGL-NGS-112806",0.1609531727
"41",1,96883533,"BTA-43335-no-rs",0.1132001999
