"","CHR","POS","SNP","SNP_ID","FREQ","LOG_P"
"1",2,41602429,3497,"BTB-00096979",0.746479,4.4979774287
"2",2,41670655,3498,"Hapmap48777-BTA-47434",0.760563,4.3772838721
"3",2,118820218,4632,"Hapmap53065-rs29026778",0.535211,4.4209621867
"4",3,110866523,6862,"ARS-BFGL-NGS-118207",0.422535,4.8159428495
"5",3,111526170,6873,"ARS-BFGL-NGS-74948",0.535211,4.7603506593
"6",3,111730561,6880,"BTB-01641394",0.507042,4.3907066994
"7",3,111751663,6881,"ARS-BFGL-NGS-37809",0.507042,4.3907066994
"8",3,111772736,6882,"ARS-BFGL-NGS-25298",0.612676,5.0887375853
"9",4,7873471,7184,"Hapmap60503-rs29018741",0.211268,4.6107671076
"10",4,24239851,7471,"Hapmap60681-rs29013301",0.06338,4.6412414026
"11",4,25933587,7502,"Hapmap50554-BTA-107048",0.126761,4.3524511162
"12",4,26511448,7515,"Hapmap59011-rs29027498",0.415493,4.5376617947
"13",4,27021431,7524,"Hapmap59743-rs29017061",0.246479,5.0454466033
"14",4,27094376,7526,"BTB-00170785",0.119718,5.4850630615
"15",4,50755462,7910,"ARS-BFGL-NGS-12139",0.049296,5.0159046126
"16",4,95650788,8704,"Hapmap58854-rs29023486",0.091549,4.8251028051
"17",4,103979600,8831,"ARS-BFGL-NGS-110705",0.683099,5.5910060182
"18",4,107787202,8888,"ARS-BFGL-NGS-45265",0.661972,5.3756277477
"19",4,109568557,8904,"Hapmap48062-BTA-72409",0.34507,4.7098821442
"20",4,110053134,8911,"UA-IFASA-2147",0.542254,5.245597847
"21",6,36184467,11511,"Hapmap23854-BTC-062412",0.232394,4.7581104442
"22",7,110306791,14772,"BTB-01148543",0.528169,4.6096912676
"23",11,19779915,20558,"Hapmap55558-rs29013980",0.352113,4.8281904216
"24",12,17477322,22252,"BTB-00488482",0.161972,4.4175758618
"25",14,15929822,25167,"ARS-BFGL-NGS-82859",0.598592,5.4674390151
"26",15,33066384,26782,"BTB-00594449",0.105634,5.0412707242
"27",15,57930281,27199,"ARS-BFGL-NGS-30515",0.15493,4.5143766406
"28",17,46487068,29742,"ARS-BFGL-NGS-12510",0.15493,4.5477665054
"29",17,47884497,29772,"ARS-BFGL-NGS-87412",0.753521,6.6223537303
"30",17,48800954,29784,"ARS-BFGL-NGS-112149",0.15493,5.2689399437
"31",20,60365668,33553,"BTB-01341053",0.732394,4.6038169178
"32",20,65351653,33665,"ARS-BFGL-NGS-91119",0.084507,4.8912057152
"33",21,4055731,33836,"ARS-BFGL-NGS-112210",0.922535,4.4939377181
"34",23,44822126,36688,"ARS-BFGL-NGS-115605",0.802817,4.3164338541
"35",24,857728,36876,"Hapmap47669-BTA-59022",0.669014,4.4580184975
"36",28,20016672,40795,"ARS-BFGL-NGS-116552",0.739437,5.130557218
"37",28,35807366,41057,"ARS-BFGL-NGS-71077",0.514085,4.6958750956
"38",29,33039863,41785,"ARS-BFGL-NGS-41631",0.859155,4.9331400421
