"","SNP","CHR","QTL_type","start_pos","end_pos","QTL_ID"
"1","ARS-BFGL-NGS-43721",2,"Production",115986083,115986087,"39013"
"2","ARS-BFGL-NGS-107330",2,"Production",115986083,115986087,"39013"
"3","ARS-BFGL-NGS-43721",2,"Reproduction",115986083,115986087,"39014"
"4","ARS-BFGL-NGS-107330",2,"Reproduction",115986083,115986087,"39014"
"5","ARS-BFGL-NGS-43721",2,"Exterior",115986083,115986087,"39015"
"6","ARS-BFGL-NGS-107330",2,"Exterior",115986083,115986087,"39015"
"7","ARS-BFGL-NGS-43721",2,"Exterior",115986083,115986087,"39016"
"8","ARS-BFGL-NGS-107330",2,"Exterior",115986083,115986087,"39016"
"9","ARS-BFGL-NGS-43721",2,"Milk",115986083,115986087,"39017"
"10","ARS-BFGL-NGS-107330",2,"Milk",115986083,115986087,"39017"
"11","ARS-BFGL-NGS-43721",2,"Production",115986083,115986087,"39018"
"12","ARS-BFGL-NGS-107330",2,"Production",115986083,115986087,"39018"
"13","ARS-BFGL-NGS-43721",2,"Exterior",115986083,115986087,"39019"
"14","ARS-BFGL-NGS-107330",2,"Exterior",115986083,115986087,"39019"
"15","ARS-BFGL-NGS-43721",2,"Milk",115986083,115986087,"39020"
"16","ARS-BFGL-NGS-107330",2,"Milk",115986083,115986087,"39020"
"17","ARS-BFGL-NGS-43721",2,"Production",115986083,115986087,"39021"
"18","ARS-BFGL-NGS-107330",2,"Production",115986083,115986087,"39021"
"19","ARS-BFGL-NGS-43721",2,"Production",115986083,115986087,"39022"
"20","ARS-BFGL-NGS-107330",2,"Production",115986083,115986087,"39022"
"21","ARS-BFGL-NGS-43721",2,"Milk",115986083,115986087,"39023"
"22","ARS-BFGL-NGS-107330",2,"Milk",115986083,115986087,"39023"
"23","ARS-BFGL-NGS-43721",2,"Milk",115986083,115986087,"39024"
"24","ARS-BFGL-NGS-107330",2,"Milk",115986083,115986087,"39024"
"25","ARS-BFGL-NGS-43721",2,"Exterior",115986083,115986087,"39025"
"26","ARS-BFGL-NGS-107330",2,"Exterior",115986083,115986087,"39025"
"27","ARS-BFGL-NGS-43721",2,"Exterior",115986083,115986087,"39026"
"28","ARS-BFGL-NGS-107330",2,"Exterior",115986083,115986087,"39026"
"29","ARS-BFGL-NGS-43721",2,"Reproduction",115986083,115986087,"39027"
"30","ARS-BFGL-NGS-107330",2,"Reproduction",115986083,115986087,"39027"
"31","ARS-BFGL-NGS-43721",2,"Exterior",115986083,115986087,"39028"
"32","ARS-BFGL-NGS-107330",2,"Exterior",115986083,115986087,"39028"
"33","BTB-01718894",6,"Meat_and_Carcass",9223776,9223780,"233635"
"34","BTA-25900-no-rs",13,"Reproduction",18489668,18489672,"46823"
"35","BTA-25900-no-rs",13,"Exterior",18489668,18489672,"46824"
"36","BTA-25900-no-rs",13,"Exterior",18489668,18489672,"46825"
"37","BTA-25900-no-rs",13,"Milk",18489668,18489672,"46826"
"38","BTA-25900-no-rs",13,"Production",18489668,18489672,"46827"
"39","BTA-25900-no-rs",13,"Exterior",18489668,18489672,"46828"
"40","BTA-25900-no-rs",13,"Exterior",18489668,18489672,"46829"
"41","BTA-25900-no-rs",13,"Production",18489668,18489672,"46830"
"42","BTA-25900-no-rs",13,"Production",18489668,18489672,"46831"
"43","BTA-25900-no-rs",13,"Exterior",18489668,18489672,"46832"
"44","BTA-25900-no-rs",13,"Exterior",18489668,18489672,"46833"
"45","BTA-25900-no-rs",13,"Reproduction",18489668,18489672,"46834"
"46","BTA-25900-no-rs",13,"Reproduction",18489668,18489672,"46835"
"47","BTA-25900-no-rs",13,"Exterior",18489668,18489672,"46836"
"48","BTA-25900-no-rs",13,"Reproduction",18509810,18509814,"46837"
"49","BTA-25900-no-rs",13,"Reproduction",18509810,18509814,"46838"
