"","CHR","SNP","BP","QTL_type","start_pos","end_pos","QTL_ID"
"1",22,"ARS-BFGL-NGS-23411",5134078,"Meat_and_Carcass",5109498,5109502,"151609"
"2",22,"ARS-BFGL-NGS-23411",5134078,"Meat_and_Carcass",5134076,5134080,"151620"
"3",22,"ARS-BFGL-NGS-23411",5134078,"Meat_and_Carcass",5173197,5173201,"151601"
"4",22,"ARS-BFGL-NGS-26419",46052082,"Reproduction",46052080,46052084,"51802"
"5",22,"ARS-BFGL-NGS-26419",46052082,"Reproduction",46052080,46052084,"51803"
"6",22,"ARS-BFGL-NGS-26419",46052082,"Reproduction",46052080,46052084,"51804"
"7",22,"ARS-BFGL-NGS-26419",46052082,"Exterior",46052080,46052084,"51805"
"8",22,"ARS-BFGL-NGS-26419",46052082,"Production",46052080,46052084,"51806"
"9",22,"ARS-BFGL-NGS-26419",46052082,"Production",46052080,46052084,"51807"
"10",22,"ARS-BFGL-NGS-26419",46052082,"Exterior",46052080,46052084,"51808"
"11",22,"ARS-BFGL-NGS-26419",46052082,"Reproduction",46052080,46052084,"51809"
"12",22,"ARS-BFGL-NGS-26419",46052082,"Health",46052080,46052084,"51810"
"13",22,"ARS-BFGL-NGS-26419",46052082,"Reproduction",46052080,46052084,"51811"
"14",22,"ARS-BFGL-NGS-26419",46052082,"Exterior",46052080,46052084,"51812"
"15",22,"ARS-BFGL-NGS-26419",46052082,"Exterior",46052080,46052084,"51813"
"16",22,"ARS-BFGL-NGS-26419",46052082,"Milk",46073517,46073521,"243365"
"17",26,"BTB-00926636",17857480,"Milk",17809768,17809772,"195264"
"18",26,"BTB-00926636",17857480,"Milk",17809768,17809772,"200269"
"19",26,"BTB-00926636",17857480,"Milk",17809768,17809772,"200270"
"20",26,"BTB-00926636",17857480,"Milk",17809768,17809772,"205295"
"21",26,"BTB-00926636",17857480,"Milk",17810363,17810367,"198859"
"22",26,"BTB-00926636",17857480,"Milk",17810363,17810367,"203868"
"23",26,"BTB-00926636",17857480,"Milk",17810363,17810367,"203869"
"24",26,"BTB-00926636",17857480,"Milk",17810363,17810367,"210297"
"25",26,"BTB-00926636",17857480,"Milk",17811021,17811025,"198858"
"26",26,"BTB-00926636",17857480,"Milk",17811021,17811025,"203866"
"27",26,"BTB-00926636",17857480,"Milk",17811021,17811025,"203867"
"28",26,"BTB-00926636",17857480,"Milk",17811021,17811025,"210296"
"29",26,"BTB-00926636",17857480,"Milk",17811725,17811729,"197493"
"30",26,"BTB-00926636",17857480,"Milk",17811725,17811729,"202704"
"31",26,"BTB-00926636",17857480,"Milk",17812273,17812277,"195685"
"32",26,"BTB-00926636",17857480,"Milk",17812273,17812277,"200785"
"33",26,"BTB-00926636",17857480,"Milk",17813212,17813216,"195285"
"34",26,"BTB-00926636",17857480,"Milk",17813212,17813216,"200301"
"35",26,"BTB-00926636",17857480,"Milk",17813978,17813982,"196236"
"36",26,"BTB-00926636",17857480,"Milk",17813978,17813982,"201468"
"37",26,"BTB-00926636",17857480,"Milk",17815237,17815241,"198002"
"38",26,"BTB-00926636",17857480,"Milk",17815237,17815241,"203190"
"39",26,"BTB-00926636",17857480,"Milk",17817223,17817227,"34750"
"40",26,"BTB-00926636",17857480,"Milk",17817223,17817227,"195586"
"41",26,"BTB-00926636",17857480,"Milk",17821297,17821301,"197235"
"42",26,"BTB-00926636",17857480,"Milk",17821297,17821301,"202455"
"43",26,"BTB-00926636",17857480,"Milk",17822209,17822213,"197783"
"44",26,"BTB-00926636",17857480,"Milk",17822209,17822213,"202983"
"45",26,"BTB-00926636",17857480,"Milk",17823105,17823109,"196204"
"46",26,"BTB-00926636",17857480,"Milk",17823105,17823109,"201419"
"47",26,"BTB-00926636",17857480,"Milk",17824770,17824774,"196867"
"48",26,"BTB-00926636",17857480,"Milk",17824770,17824774,"202101"
"49",26,"BTB-00926636",17857480,"Milk",17833551,17833555,"195748"
"50",26,"BTB-00926636",17857480,"Milk",17833551,17833555,"200855"
"51",26,"BTB-00926636",17857480,"Milk",17833551,17833555,"206213"
"52",26,"BTB-00926636",17857480,"Milk",17865069,17865073,"197144"
"53",26,"BTA-62125-no-rs",17899619,"Milk",17865069,17865073,"197144"
"54",26,"BTB-00926636",17857480,"Milk",17865069,17865073,"202367"
"55",26,"BTA-62125-no-rs",17899619,"Milk",17865069,17865073,"202367"
"56",26,"BTB-00926636",17857480,"Milk",17865069,17865073,"208485"
"57",26,"BTA-62125-no-rs",17899619,"Milk",17865069,17865073,"208485"
"58",26,"BTB-00926636",17857480,"Milk",17871201,17871205,"197611"
"59",26,"BTA-62125-no-rs",17899619,"Milk",17871201,17871205,"197611"
"60",26,"BTB-00926636",17857480,"Milk",17871201,17871205,"202816"
"61",26,"BTA-62125-no-rs",17899619,"Milk",17871201,17871205,"202816"
"62",26,"BTB-00926636",17857480,"Milk",17871201,17871205,"209076"
"63",26,"BTA-62125-no-rs",17899619,"Milk",17871201,17871205,"209076"
"64",26,"BTB-00926636",17857480,"Milk",17885871,17885875,"63656"
"65",26,"BTA-62125-no-rs",17899619,"Milk",17885871,17885875,"63656"
"66",26,"BTB-00926636",17857480,"Milk",17885871,17885875,"199068"
"67",26,"BTA-62125-no-rs",17899619,"Milk",17885871,17885875,"199068"
"68",26,"BTB-00926636",17857480,"Milk",17885871,17885875,"204113"
"69",26,"BTA-62125-no-rs",17899619,"Milk",17885871,17885875,"204113"
"70",26,"BTB-00926636",17857480,"Milk",17885871,17885875,"204114"
"71",26,"BTA-62125-no-rs",17899619,"Milk",17885871,17885875,"204114"
"72",26,"BTB-00926636",17857480,"Milk",17885871,17885875,"210399"
"73",26,"BTA-62125-no-rs",17899619,"Milk",17885871,17885875,"210399"
"74",26,"BTB-00926636",17857480,"Milk",17895273,17895277,"63657"
"75",26,"BTA-62125-no-rs",17899619,"Milk",17895273,17895277,"63657"
"76",26,"BTB-00926636",17857480,"Milk",17895273,17895277,"199069"
"77",26,"BTA-62125-no-rs",17899619,"Milk",17895273,17895277,"199069"
"78",26,"BTB-00926636",17857480,"Milk",17895273,17895277,"204115"
"79",26,"BTA-62125-no-rs",17899619,"Milk",17895273,17895277,"204115"
"80",26,"BTB-00926636",17857480,"Milk",17895273,17895277,"204116"
"81",26,"BTA-62125-no-rs",17899619,"Milk",17895273,17895277,"204116"
"82",26,"BTB-00926636",17857480,"Milk",17895273,17895277,"210400"
"83",26,"BTA-62125-no-rs",17899619,"Milk",17895273,17895277,"210400"
"84",26,"BTB-00926636",17857480,"Milk",17895803,17895807,"199070"
"85",26,"BTA-62125-no-rs",17899619,"Milk",17895803,17895807,"199070"
"86",26,"BTB-00926636",17857480,"Milk",17895803,17895807,"204117"
"87",26,"BTA-62125-no-rs",17899619,"Milk",17895803,17895807,"204117"
"88",26,"BTB-00926636",17857480,"Milk",17895803,17895807,"204118"
"89",26,"BTA-62125-no-rs",17899619,"Milk",17895803,17895807,"204118"
"90",26,"BTB-00926636",17857480,"Milk",17895803,17895807,"210401"
"91",26,"BTA-62125-no-rs",17899619,"Milk",17895803,17895807,"210401"
"92",26,"BTB-00926636",17857480,"Milk",17900304,17900308,"199071"
"93",26,"BTA-62125-no-rs",17899619,"Milk",17900304,17900308,"199071"
"94",26,"BTB-00926636",17857480,"Milk",17900304,17900308,"204119"
"95",26,"BTA-62125-no-rs",17899619,"Milk",17900304,17900308,"204119"
"96",26,"BTB-00926636",17857480,"Milk",17900304,17900308,"204120"
"97",26,"BTA-62125-no-rs",17899619,"Milk",17900304,17900308,"204120"
"98",26,"BTB-00926636",17857480,"Milk",17900304,17900308,"210402"
"99",26,"BTA-62125-no-rs",17899619,"Milk",17900304,17900308,"210402"
"100",26,"BTB-00926636",17857480,"Milk",17902932,17902936,"63658"
"101",26,"BTA-62125-no-rs",17899619,"Milk",17902932,17902936,"63658"
"102",26,"BTB-00926636",17857480,"Milk",17902932,17902936,"199072"
"103",26,"BTA-62125-no-rs",17899619,"Milk",17902932,17902936,"199072"
"104",26,"BTB-00926636",17857480,"Milk",17902932,17902936,"204121"
"105",26,"BTA-62125-no-rs",17899619,"Milk",17902932,17902936,"204121"
"106",26,"BTB-00926636",17857480,"Milk",17902932,17902936,"204122"
"107",26,"BTA-62125-no-rs",17899619,"Milk",17902932,17902936,"204122"
"108",26,"BTB-00926636",17857480,"Milk",17902932,17902936,"210403"
"109",26,"BTA-62125-no-rs",17899619,"Milk",17902932,17902936,"210403"
"110",26,"BTB-00926636",17857480,"Milk",17906861,17906865,"63660"
"111",26,"BTA-62125-no-rs",17899619,"Milk",17906861,17906865,"63660"
"112",26,"BTB-00926636",17857480,"Milk",17906861,17906865,"199074"
"113",26,"BTA-62125-no-rs",17899619,"Milk",17906861,17906865,"199074"
"114",26,"BTB-00926636",17857480,"Milk",17906861,17906865,"204125"
"115",26,"BTA-62125-no-rs",17899619,"Milk",17906861,17906865,"204125"
"116",26,"BTB-00926636",17857480,"Milk",17906861,17906865,"204126"
"117",26,"BTA-62125-no-rs",17899619,"Milk",17906861,17906865,"204126"
"118",26,"BTB-00926636",17857480,"Milk",17906861,17906865,"210405"
"119",26,"BTA-62125-no-rs",17899619,"Milk",17906861,17906865,"210405"
"120",26,"BTA-62125-no-rs",17899619,"Milk",17914357,17914361,"63654"
"121",26,"BTA-62125-no-rs",17899619,"Milk",17914357,17914361,"199076"
"122",26,"BTA-62125-no-rs",17899619,"Milk",17914357,17914361,"204129"
"123",26,"BTA-62125-no-rs",17899619,"Milk",17914357,17914361,"204130"
"124",26,"BTA-62125-no-rs",17899619,"Milk",17914357,17914361,"210407"
"125",26,"BTA-62125-no-rs",17899619,"Milk",17915872,17915876,"63655"
"126",26,"BTA-62125-no-rs",17899619,"Milk",17915872,17915876,"197826"
"127",26,"BTA-62125-no-rs",17899619,"Milk",17915872,17915876,"203026"
"128",26,"BTA-62125-no-rs",17899619,"Milk",17915872,17915876,"203027"
"129",26,"BTA-62125-no-rs",17899619,"Milk",17915872,17915876,"209354"
"130",26,"BTA-62125-no-rs",17899619,"Milk",17922107,17922111,"195860"
"131",26,"BTA-62125-no-rs",17899619,"Milk",17922107,17922111,"201008"
"132",26,"BTA-62125-no-rs",17899619,"Milk",17922107,17922111,"201009"
"133",26,"BTA-62125-no-rs",17899619,"Milk",17922107,17922111,"206462"
"134",26,"BTA-62125-no-rs",17899619,"Milk",17928246,17928250,"33984"
"135",26,"BTA-62125-no-rs",17899619,"Milk",17928246,17928250,"195668"
"136",26,"BTA-62125-no-rs",17899619,"Milk",17928246,17928250,"195669"
"137",26,"BTA-62125-no-rs",17899619,"Milk",17928246,17928250,"195670"
"138",26,"BTA-62125-no-rs",17899619,"Milk",17928246,17928250,"200758"
"139",26,"BTA-62125-no-rs",17899619,"Milk",17931209,17931213,"199092"
"140",26,"BTA-62125-no-rs",17899619,"Milk",17931209,17931213,"204151"
"141",28,"BTA-99379-no-rs",41666186,"Reproduction",41646434,41646438,"107048"
"142",28,"BTA-99379-no-rs",41666186,"Reproduction",41646434,41646438,"107227"
