"","CHR","BP","LOG_P","SNP_ID"
"1",11,19779915,4.8281904216,"Hapmap55558-rs29013980"
"2",12,17477322,4.4175758618,"BTB-00488482"
"3",14,15929822,5.4674390151,"ARS-BFGL-NGS-82859"
"4",15,33066384,5.0412707242,"BTB-00594449"
"5",15,57930281,4.5143766406,"ARS-BFGL-NGS-30515"
"6",17,46487068,4.5477665054,"ARS-BFGL-NGS-12510"
"7",17,47884497,6.6223537303,"ARS-BFGL-NGS-87412"
"8",17,48800954,5.2689399437,"ARS-BFGL-NGS-112149"
"9",2,118820218,4.4209621867,"Hapmap53065-rs29026778"
"10",2,41602429,4.4979774287,"BTB-00096979"
"11",2,41670655,4.3772838721,"Hapmap48777-BTA-47434"
"12",20,60365668,4.6038169178,"BTB-01341053"
"13",20,65351653,4.8912057152,"ARS-BFGL-NGS-91119"
"14",21,4055731,4.4939377181,"ARS-BFGL-NGS-112210"
"15",23,44822126,4.3164338541,"ARS-BFGL-NGS-115605"
"16",24,857728,4.4580184975,"Hapmap47669-BTA-59022"
"17",28,20016672,5.130557218,"ARS-BFGL-NGS-116552"
"18",28,35807366,4.6958750956,"ARS-BFGL-NGS-71077"
"19",29,33039863,4.9331400421,"ARS-BFGL-NGS-41631"
"20",3,110866523,4.8159428495,"ARS-BFGL-NGS-118207"
"21",3,111526170,4.7603506593,"ARS-BFGL-NGS-74948"
"22",3,111730561,4.3907066994,"BTB-01641394"
"23",3,111751663,4.3907066994,"ARS-BFGL-NGS-37809"
"24",3,111772736,5.0887375853,"ARS-BFGL-NGS-25298"
"25",4,103979600,5.5910060182,"ARS-BFGL-NGS-110705"
"26",4,107787202,5.3756277477,"ARS-BFGL-NGS-45265"
"27",4,109568557,4.7098821442,"Hapmap48062-BTA-72409"
"28",4,110053134,5.245597847,"UA-IFASA-2147"
"29",4,24239851,4.6412414026,"Hapmap60681-rs29013301"
"30",4,25933587,4.3524511162,"Hapmap50554-BTA-107048"
"31",4,26511448,4.5376617947,"Hapmap59011-rs29027498"
"32",4,27021431,5.0454466033,"Hapmap59743-rs29017061"
"33",4,27094376,5.4850630615,"BTB-00170785"
"34",4,50755462,5.0159046126,"ARS-BFGL-NGS-12139"
"35",4,7873471,4.6107671076,"Hapmap60503-rs29018741"
"36",4,95650788,4.8251028051,"Hapmap58854-rs29023486"
"37",6,36184467,4.7581104442,"Hapmap23854-BTC-062412"
"38",7,110306791,4.6096912676,"BTB-01148543"
