"","SNP_name","rsID","CHR","BP","Var"
"1","ARS-BFGL-BAC-28665","rs111010562",24,28487771,0.5601842667
"2","ARS-BFGL-BAC-35548","rs110100182",2,115665427,1.2237597851
"3","ARS-BFGL-BAC-7444","rs110491621",13,18558540,0.604026669
"4","ARS-BFGL-NGS-103753","rs110842922",2,115821065,1.0965188597
"5","ARS-BFGL-NGS-107330","rs109766798",2,116018639,0.5887867363
"6","ARS-BFGL-NGS-25298","rs109868537",3,111772736,1.0283717422
"7","ARS-BFGL-NGS-30337","rs110485060",2,115730530,1.2853203491
"8","ARS-BFGL-NGS-34854","rs109738387",23,14185501,0.5312912431
"9","ARS-BFGL-NGS-37809","rs42751504",3,111751663,0.9351572535
"10","ARS-BFGL-NGS-43721","rs108974471",2,115986085,0.7857140075
"11","ARS-BFGL-NGS-44131","rs110100483",3,111806406,0.8576835334
"12","ARS-BFGL-NGS-57285","rs109872657",9,10112014,0.5060727589
"13","ARS-BFGL-NGS-58358","rs109507088",27,16692516,0.5575926813
"14","ARS-BFGL-NGS-6202","rs110385521",3,111833768,0.9820334402
"15","ARS-BFGL-NGS-97489","rs42111498",27,16546003,0.5266454661
"16","ARS-BFGL-NGS-97849","rs110553601",3,111965305,0.6104093122
"17","BTA-25900-no-rs","rs41575397",13,18509812,0.6018006175
"18","BTA-49096-no-rs","rs41578131",2,115695003,1.5221060874
"19","BTA-95363-no-rs","rs41615088",16,6121692,0.5967889897
"20","BTB-00952622","rs42110734",27,16663290,0.5891105024
"21","BTB-01068898","rs42226640",6,8630173,0.5563912733
"22","BTB-01069210","rs42225053",6,9142299,0.5157690787
"23","BTB-01485274","rs42609685",24,28540641,0.7103497445
"24","BTB-01608944","rs42723390",15,10974997,0.5126189273
"25","BTB-01641394","rs42752353",3,111730561,0.8541772011
"26","BTB-01948148","rs43056622",3,111677167,0.6871510683
"27","Hapmap41888-BTA-49091","rs41645223",2,115622067,0.804070846
"28","Hapmap42062-BTA-109789","rs41621207",3,111708236,1.099640504
"29","Hapmap49833-BTA-103929","rs41603335",13,18386942,0.5085676815
"30","Hapmap50266-BTA-13664","rs29018622",13,18266073,0.5842979056
"31","Hapmap54541-rs29014049","rs29014049",8,55218811,0.6997956829
"32","Hapmap54770-rs29009608","rs29009608",2,115875702,0.7073805384
"33","Hapmap54981-rs29019846","rs29019846",24,28516684,0.615000029
"34","Hapmap58887-rs29013502","rs29013502",24,28570245,0.5794517773
