"","CHR","SNP","BP","QTL_type","start_pos","end_pos","QTL_ID"
"1",3,"ARS-BFGL-NGS-4585",107160292,"Reproduction",107191525,107191529,"40198"
"2",3,"ARS-BFGL-NGS-4585",107160292,"Exterior",107191525,107191529,"40199"
"3",3,"ARS-BFGL-NGS-4585",107160292,"Reproduction",107191525,107191529,"40200"
"4",3,"ARS-BFGL-NGS-4585",107160292,"Exterior",107191525,107191529,"40201"
"5",3,"ARS-BFGL-NGS-4585",107160292,"Milk",107191525,107191529,"40202"
"6",3,"ARS-BFGL-NGS-4585",107160292,"Milk",107191525,107191529,"40203"
"7",3,"ARS-BFGL-NGS-4585",107160292,"Production",107191525,107191529,"40204"
"8",3,"ARS-BFGL-NGS-4585",107160292,"Production",107191525,107191529,"40205"
"9",3,"ARS-BFGL-NGS-4585",107160292,"Milk",107191525,107191529,"40206"
"10",3,"ARS-BFGL-NGS-4585",107160292,"Milk",107191525,107191529,"40207"
"11",3,"ARS-BFGL-NGS-4585",107160292,"Exterior",107191525,107191529,"40208"
"12",3,"ARS-BFGL-NGS-4585",107160292,"Reproduction",107191525,107191529,"40209"
"13",3,"ARS-BFGL-NGS-4585",107160292,"Health",107191525,107191529,"40210"
"14",3,"ARS-BFGL-NGS-4585",107160292,"Reproduction",107191525,107191529,"40211"
"15",3,"ARS-BFGL-NGS-4585",107160292,"Exterior",107191525,107191529,"40212"
"16",3,"ARS-BFGL-NGS-4585",107160292,"Exterior",107191525,107191529,"40213"
"17",11,"BTA-122098-no-rs",31882807,"Milk",31870044,31870048,"122275"
"18",14,"Hapmap39823-BTA-35254",64061208,"Milk",64013785,64013789,"247433"
"19",14,"Hapmap39823-BTA-35254",64061208,"Milk",64013858,64013862,"241580"
"20",14,"Hapmap39823-BTA-35254",64061208,"Milk",64013858,64013862,"252031"
"21",14,"Hapmap39823-BTA-35254",64061208,"Milk",64013897,64013901,"241079"
"22",14,"Hapmap39823-BTA-35254",64061208,"Milk",64013897,64013901,"251434"
"23",14,"Hapmap39823-BTA-35254",64061208,"Milk",64013952,64013956,"241853"
"24",14,"Hapmap39823-BTA-35254",64061208,"Milk",64013952,64013956,"252403"
"25",14,"Hapmap39823-BTA-35254",64061208,"Milk",64015726,64015730,"105628"
"26",14,"Hapmap39823-BTA-35254",64061208,"Milk",64017424,64017428,"252151"
"27",14,"Hapmap39823-BTA-35254",64061208,"Milk",64017970,64017974,"18873"
"28",14,"Hapmap39823-BTA-35254",64061208,"Milk",64061206,64061210,"18872"
"29",14,"Hapmap39823-BTA-35254",64061208,"Milk",64061206,64061210,"105335"
"30",14,"Hapmap39823-BTA-35254",64061208,"Milk",64061206,64061210,"173792"
"31",14,"Hapmap39823-BTA-35254",64061208,"Milk",64061206,64061210,"175101"
"32",14,"Hapmap39823-BTA-35254",64061208,"Milk",64061206,64061210,"176088"
"33",14,"Hapmap39823-BTA-35254",64061208,"Milk",64061206,64061210,"176487"
"34",14,"Hapmap39823-BTA-35254",64061208,"Milk",64061206,64061210,"252723"
"35",14,"Hapmap39823-BTA-35254",64061208,"Milk",64063422,64063426,"175102"
"36",14,"Hapmap39823-BTA-35254",64061208,"Milk",64068329,64068333,"105336"
"37",14,"Hapmap39823-BTA-35254",64061208,"Milk",64081490,64081494,"104637"
"38",14,"Hapmap39823-BTA-35254",64061208,"Milk",64081490,64081494,"104890"
"39",14,"Hapmap39823-BTA-35254",64061208,"Health",64081490,64081494,"179830"
"40",14,"Hapmap39823-BTA-35254",64061208,"Milk",64087234,64087238,"175103"
"41",14,"Hapmap39823-BTA-35254",64061208,"Milk",64087234,64087238,"252869"
"42",14,"Hapmap39823-BTA-35254",64061208,"Milk",64087450,64087454,"252628"
"43",14,"Hapmap39823-BTA-35254",64061208,"Milk",64088569,64088573,"252926"
"44",14,"Hapmap39823-BTA-35254",64061208,"Milk",64103583,64103587,"104638"
"45",14,"Hapmap39823-BTA-35254",64061208,"Milk",64103583,64103587,"104891"
"46",14,"UA-IFASA-7664",64299714,"Milk",64272869,64272873,"102476"
"47",14,"UA-IFASA-7664",64299714,"Milk",64272869,64272873,"104484"
"48",14,"UA-IFASA-7664",64299714,"Milk",64272869,64272873,"104863"
"49",14,"UA-IFASA-7664",64299714,"Health",64272869,64272873,"179764"
"50",14,"UA-IFASA-7664",64299714,"Milk",64283263,64283267,"175108"
"51",14,"UA-IFASA-7664",64299714,"Milk",64283263,64283267,"251800"
"52",14,"UA-IFASA-7664",64299714,"Milk",64283947,64283951,"251398"
"53",14,"UA-IFASA-7664",64299714,"Milk",64288968,64288972,"247633"
"54",14,"UA-IFASA-7664",64299714,"Milk",64288968,64288972,"252142"
"55",14,"UA-IFASA-7664",64299714,"Milk",64299712,64299716,"18875"
"56",14,"UA-IFASA-7664",64299714,"Milk",64299712,64299716,"105660"
"57",14,"UA-IFASA-7664",64299714,"Milk",64299712,64299716,"158137"
"58",14,"UA-IFASA-7664",64299714,"Milk",64299712,64299716,"173793"
"59",14,"UA-IFASA-7664",64299714,"Milk",64299712,64299716,"175109"
"60",14,"UA-IFASA-7664",64299714,"Milk",64299712,64299716,"176085"
"61",14,"UA-IFASA-7664",64299714,"Milk",64299712,64299716,"176486"
"62",14,"UA-IFASA-7664",64299714,"Milk",64299712,64299716,"250009"
"63",14,"UA-IFASA-7664",64299714,"Milk",64299712,64299716,"252724"
"64",14,"UA-IFASA-7664",64299714,"Milk",64302757,64302761,"251934"
"65",14,"UA-IFASA-7664",64299714,"Milk",64308608,64308612,"252948"
"66",14,"UA-IFASA-7664",64299714,"Milk",64317001,64317005,"252652"
"67",14,"UA-IFASA-7664",64299714,"Milk",64322496,64322500,"251752"
"68",14,"UA-IFASA-7664",64299714,"Meat_and_Carcass",64327478,64327482,"20269"
"69",14,"UA-IFASA-7664",64299714,"Meat_and_Carcass",64327478,64327482,"20311"
"70",14,"UA-IFASA-7664",64299714,"Meat_and_Carcass",64327478,64327482,"20393"
"71",14,"UA-IFASA-7664",64299714,"Meat_and_Carcass",64327478,64327482,"20464"
"72",14,"UA-IFASA-7664",64299714,"Milk",64327904,64327908,"32596"
"73",14,"UA-IFASA-7664",64299714,"Milk",64327904,64327908,"32634"
"74",14,"UA-IFASA-7664",64299714,"Milk",64328322,64328326,"252206"
"75",14,"UA-IFASA-7664",64299714,"Milk",64339118,64339122,"251497"
"76",14,"UA-IFASA-7664",64299714,"Milk",64343288,64343292,"252287"
"77",19,"ARS-BFGL-NGS-28901",42338148,"Milk",42292941,42292945,"147657"
"78",19,"ARS-BFGL-NGS-28901",42338148,"Milk",42292941,42292945,"147675"
"79",19,"ARS-BFGL-NGS-28901",42338148,"Milk",42322679,42322683,"173073"
"80",19,"ARS-BFGL-NGS-28901",42338148,"Milk",42322679,42322683,"173074"
"81",19,"ARS-BFGL-NGS-28901",42338148,"Milk",42322679,42322683,"173075"
"82",19,"ARS-BFGL-NGS-28901",42338148,"Milk",42322679,42322683,"173076"
"83",19,"ARS-BFGL-NGS-28901",42338148,"Milk",42322679,42322683,"173077"
"84",19,"ARS-BFGL-NGS-28901",42338148,"Milk",42322679,42322683,"173237"
"85",19,"ARS-BFGL-NGS-28901",42338148,"Milk",42338146,42338150,"166545"
"86",19,"ARS-BFGL-NGS-28901",42338148,"Milk",42338146,42338150,"166546"
"87",19,"ARS-BFGL-NGS-28901",42338148,"Milk",42338146,42338150,"253605"
"88",19,"ARS-BFGL-NGS-28901",42338148,"Milk",42349650,42349654,"147630"
"89",19,"ARS-BFGL-NGS-29119",49744592,"Milk",49702578,49702582,"195323"
"90",19,"ARS-BFGL-NGS-29119",49744592,"Milk",49702578,49702582,"195324"
"91",19,"ARS-BFGL-NGS-29119",49744592,"Milk",49702578,49702582,"195325"
"92",19,"ARS-BFGL-NGS-29119",49744592,"Milk",49702578,49702582,"205408"
"93",19,"ARS-BFGL-NGS-29119",49744592,"Meat_and_Carcass",49715846,49715850,"107754"
"94",19,"ARS-BFGL-NGS-29119",49744592,"Milk",49735877,49735881,"196362"
"95",19,"ARS-BFGL-NGS-29119",49744592,"Milk",49772086,49772090,"195342"
"96",20,"BTB-01471673",11545685,"Production",11498161,11498165,"65554"
"97",28,"ARS-BFGL-NGS-11935",44942879,"Reproduction",44971508,44971512,"238444"
"98",28,"ARS-BFGL-NGS-11935",44942879,"Production",44981682,44981686,"66703"
"99",28,"ARS-BFGL-NGS-11935",44942879,"Production",44981682,44981686,"66704"
"100",28,"ARS-BFGL-NGS-11935",44942879,"Production",44981682,44981686,"69429"
"101",28,"Hapmap43005-BTA-64606",45805105,"Milk",45811156,45811160,"34467"
