"","CHR","POS","SNP_ORDER","SNP_ID","FREQ","Var"
"1",2,115622067,4582,"Hapmap41888-BTA-49091",0.232394,0.826839192
"2",2,115665427,4583,"ARS-BFGL-BAC-35548",0.542254,1.2851805897
"3",2,115695003,4584,"BTA-49096-no-rs",0.760563,1.6071883333
"4",2,115730530,4585,"ARS-BFGL-NGS-30337",0.521127,1.3488469086
"5",2,115821065,4586,"ARS-BFGL-NGS-103753",0.612676,1.1689686326
"6",2,115875702,4587,"Hapmap54770-rs29009608",0.535211,0.7398417168
"7",2,115986085,4588,"ARS-BFGL-NGS-43721",0.605634,0.8178265017
"8",2,116018639,4589,"ARS-BFGL-NGS-107330",0.366197,0.5958550712
"9",3,111677167,6878,"BTB-01948148",0.035211,0.7467347019
"10",3,111708236,6879,"Hapmap42062-BTA-109789",0.260563,1.2415855102
"11",3,111730561,6880,"BTB-01641394",0.507042,0.9480214011
"12",3,111751663,6881,"ARS-BFGL-NGS-37809",0.507042,1.0607738886
"13",3,111772736,6882,"ARS-BFGL-NGS-25298",0.612676,1.2101267375
"14",3,111806406,6883,"ARS-BFGL-NGS-44131",0.176056,1.0252690009
"15",3,111833768,6884,"ARS-BFGL-NGS-6202",0.302817,1.1671761702
"16",3,111933069,6885,"ARS-BFGL-NGS-85333",0.211268,0.6077153076
"17",3,111965305,6886,"ARS-BFGL-NGS-97849",0.373239,0.7547885266
"18",5,6312610,9246,"BTA-73915-no-rs",0.267606,0.5103844282
"19",10,50554831,19228,"BTB-01434227",0.591549,0.6660810063
"20",13,18266073,23616,"Hapmap50266-BTA-13664",0.239437,0.6006650297
"21",13,18386942,23617,"Hapmap49833-BTA-103929",0.823944,0.5282867231
"22",13,18509812,23619,"BTA-25900-no-rs",0.732394,0.636412785
"23",13,18558540,23620,"ARS-BFGL-BAC-7444",0.619718,0.6630788663
"24",15,10879514,26382,"BTB-01813405",0.253521,0.5556341789
"25",15,10906064,26383,"BTB-02063964",0.253521,0.8788211259
"26",15,10936002,26384,"BTB-01830390",0.352113,1.0480276895
"27",15,10974997,26385,"BTB-01608944",0.84507,1.1206944587
"28",15,11100934,26386,"BTA-91816-no-rs",0.267606,0.9739682726
"29",15,11144666,26387,"BTB-01421844",0.732394,0.7131749729
"30",15,11185546,26388,"BTB-01421892",0.732394,0.646368899
"31",15,11207429,26389,"BTB-01421934",0.711268,0.8898566632
"32",15,11236303,26390,"BTB-01422008",0.711268,0.68323064
"33",15,34054485,26800,"ARS-BFGL-NGS-2713",0.816901,0.5549891922
"34",15,34109962,26801,"ARS-BFGL-NGS-98724",0.598592,0.6252263388
"35",15,34144843,26802,"ARS-BFGL-NGS-5976",0.478873,0.5490536701
"36",20,12087403,32778,"ARS-BFGL-NGS-3276",0.352113,0.5722138312
"37",20,12111883,32779,"ARS-BFGL-NGS-78615",0.295775,0.5689079257
"38",24,28417928,37341,"ARS-BFGL-NGS-5141",0.204225,0.5945939782
"39",24,28487771,37343,"ARS-BFGL-BAC-28665",0.873239,0.6899732353
"40",24,28516684,37344,"Hapmap54981-rs29019846",0.816901,0.7747524437
"41",24,28540641,37345,"BTB-01485274",0.591549,0.8983644118
"42",24,28570245,37346,"Hapmap58887-rs29013502",0.647887,0.7619212852
"43",24,28604672,37347,"BTB-01646599",0.591549,0.589457911
