"","X","CHR","BP","SNP","chr","start_pos","end_pos","width","strand","gene_id","gene_name","gene_biotype"
"1",1,2,115986085,"ARS-BFGL-NGS-43721","2",115948258,115951955,3698,"+","ENSBTAG00000021326","CCL20","protein_coding"
"2",1,2,115986085,"ARS-BFGL-NGS-43721","2",115992779,116028253,35475,"+","ENSBTAG00000021327","DAW1","protein_coding"
"3",2,2,116018639,"ARS-BFGL-NGS-107330","2",115992779,116028253,35475,"+","ENSBTAG00000021327","DAW1","protein_coding"
"4",3,3,111772736,"ARS-BFGL-NGS-25298","3",111603940,112289188,685249,"+","ENSBTAG00000005784","CSMD2","protein_coding"
"5",4,3,111933069,"ARS-BFGL-NGS-85333","3",111603940,112289188,685249,"+","ENSBTAG00000005784","CSMD2","protein_coding"
"6",5,3,112064027,"ARS-BFGL-NGS-110683","3",111603940,112289188,685249,"+","ENSBTAG00000005784","CSMD2","protein_coding"
"7",4,3,111933069,"ARS-BFGL-NGS-85333","3",111927003,111927727,725,"-","ENSBTAG00000000335","HMGB4","protein_coding"
"8",9,9,10112014,"ARS-BFGL-NGS-57285","9",9970661,10070666,100006,"-","ENSBTAG00000020817","B3GAT2","protein_coding"
"9",10,13,18509812,"BTA-25900-no-rs","13",18449975,18466359,16385,"+","ENSBTAG00000052242",NA,"lncRNA"
"10",10,13,18509812,"BTA-25900-no-rs","13",18484975,19062784,577810,"+","ENSBTAG00000014991","PARD3","protein_coding"
"11",11,13,18822522,"ARS-BFGL-NGS-13518","13",18484975,19062784,577810,"+","ENSBTAG00000014991","PARD3","protein_coding"
"12",12,13,18892498,"ARS-BFGL-NGS-109707","13",18484975,19062784,577810,"+","ENSBTAG00000014991","PARD3","protein_coding"
"13",11,13,18822522,"ARS-BFGL-NGS-13518","13",18847324,18847381,58,"+","ENSBTAG00000054243","bta-mir-2285aw","miRNA"
"14",12,13,18892498,"ARS-BFGL-NGS-109707","13",18847324,18847381,58,"+","ENSBTAG00000054243","bta-mir-2285aw","miRNA"
"15",14,16,6308221,"BTB-01975868","16",6199772,6333310,133539,"-","ENSBTAG00000023177","CFH","protein_coding"
"16",16,24,28731501,"ARS-BFGL-NGS-118806","24",28655047,28904115,249069,"+","ENSBTAG00000021190","CDH2","protein_coding"
"17",17,27,16663290,"BTB-00952622","27",16673409,16675767,2359,"-","ENSBTAG00000050498",NA,"protein_coding"
"18",18,27,16692516,"ARS-BFGL-NGS-58358","27",16673409,16675767,2359,"-","ENSBTAG00000050498",NA,"protein_coding"
