"","CHR","SNP","BP","QTL_type","start_pos","end_pos","QTL_ID"
"1",10,"BTB-01434227",50554831,"Health",50597586,50597590,"156580"
"2",13,"Hapmap49833-BTA-103929",18386942,"Milk",18340131,18340135,"116582"
"3",13,"Hapmap49833-BTA-103929",18386942,"Milk",18349683,18349687,"116735"
"4",13,"Hapmap49833-BTA-103929",18386942,"Milk",18370805,18370809,"249726"
"5",13,"Hapmap49833-BTA-103929",18386942,"Milk",18381731,18381735,"116525"
"6",13,"Hapmap49833-BTA-103929",18386942,"Reproduction",18386940,18386944,"46808"
"7",13,"Hapmap49833-BTA-103929",18386942,"Reproduction",18386940,18386944,"46809"
"8",13,"Hapmap49833-BTA-103929",18386942,"Exterior",18386940,18386944,"46810"
"9",13,"Hapmap49833-BTA-103929",18386942,"Exterior",18386940,18386944,"46811"
"10",13,"Hapmap49833-BTA-103929",18386942,"Production",18386940,18386944,"46812"
"11",13,"Hapmap49833-BTA-103929",18386942,"Exterior",18386940,18386944,"46813"
"12",13,"Hapmap49833-BTA-103929",18386942,"Milk",18386940,18386944,"46814"
"13",13,"Hapmap49833-BTA-103929",18386942,"Production",18386940,18386944,"46815"
"14",13,"Hapmap49833-BTA-103929",18386942,"Production",18386940,18386944,"46816"
"15",13,"Hapmap49833-BTA-103929",18386942,"Exterior",18386940,18386944,"46817"
"16",13,"Hapmap49833-BTA-103929",18386942,"Exterior",18386940,18386944,"46818"
"17",13,"Hapmap49833-BTA-103929",18386942,"Exterior",18386940,18386944,"46819"
"18",13,"Hapmap49833-BTA-103929",18386942,"Reproduction",18386940,18386944,"46820"
"19",13,"Hapmap49833-BTA-103929",18386942,"Reproduction",18386940,18386944,"46821"
"20",13,"Hapmap49833-BTA-103929",18386942,"Exterior",18386940,18386944,"46822"
"21",13,"Hapmap49833-BTA-103929",18386942,"Meat_and_Carcass",18386940,18386944,"151596"
"22",13,"Hapmap49833-BTA-103929",18386942,"Meat_and_Carcass",18392222,18392226,"226401"
"23",13,"Hapmap49833-BTA-103929",18386942,"Meat_and_Carcass",18392222,18392226,"228662"
"24",13,"Hapmap49833-BTA-103929",18386942,"Meat_and_Carcass",18392222,18392226,"234093"
"25",13,"Hapmap49833-BTA-103929",18386942,"Milk",18406821,18406825,"116526"
"26",13,"BTA-25900-no-rs",18509812,"Reproduction",18489668,18489672,"46823"
"27",13,"BTA-25900-no-rs",18509812,"Exterior",18489668,18489672,"46824"
"28",13,"BTA-25900-no-rs",18509812,"Exterior",18489668,18489672,"46825"
"29",13,"BTA-25900-no-rs",18509812,"Milk",18489668,18489672,"46826"
"30",13,"BTA-25900-no-rs",18509812,"Production",18489668,18489672,"46827"
"31",13,"BTA-25900-no-rs",18509812,"Exterior",18489668,18489672,"46828"
"32",13,"BTA-25900-no-rs",18509812,"Exterior",18489668,18489672,"46829"
"33",13,"BTA-25900-no-rs",18509812,"Production",18489668,18489672,"46830"
"34",13,"BTA-25900-no-rs",18509812,"Production",18489668,18489672,"46831"
"35",13,"BTA-25900-no-rs",18509812,"Exterior",18489668,18489672,"46832"
"36",13,"BTA-25900-no-rs",18509812,"Exterior",18489668,18489672,"46833"
"37",13,"BTA-25900-no-rs",18509812,"Reproduction",18489668,18489672,"46834"
"38",13,"BTA-25900-no-rs",18509812,"Reproduction",18489668,18489672,"46835"
"39",13,"BTA-25900-no-rs",18509812,"Exterior",18489668,18489672,"46836"
"40",13,"BTA-25900-no-rs",18509812,"Reproduction",18509810,18509814,"46837"
"41",13,"ARS-BFGL-BAC-7444",18558540,"Reproduction",18509810,18509814,"46837"
"42",13,"BTA-25900-no-rs",18509812,"Reproduction",18509810,18509814,"46838"
"43",13,"ARS-BFGL-BAC-7444",18558540,"Reproduction",18509810,18509814,"46838"
"44",13,"BTA-25900-no-rs",18509812,"Exterior",18509810,18509814,"46839"
"45",13,"ARS-BFGL-BAC-7444",18558540,"Exterior",18509810,18509814,"46839"
"46",13,"BTA-25900-no-rs",18509812,"Exterior",18509810,18509814,"46840"
"47",13,"ARS-BFGL-BAC-7444",18558540,"Exterior",18509810,18509814,"46840"
"48",13,"BTA-25900-no-rs",18509812,"Production",18509810,18509814,"46841"
"49",13,"ARS-BFGL-BAC-7444",18558540,"Production",18509810,18509814,"46841"
"50",13,"BTA-25900-no-rs",18509812,"Exterior",18509810,18509814,"46842"
"51",13,"ARS-BFGL-BAC-7444",18558540,"Exterior",18509810,18509814,"46842"
"52",13,"BTA-25900-no-rs",18509812,"Exterior",18509810,18509814,"46843"
"53",13,"ARS-BFGL-BAC-7444",18558540,"Exterior",18509810,18509814,"46843"
"54",13,"BTA-25900-no-rs",18509812,"Production",18509810,18509814,"46844"
"55",13,"ARS-BFGL-BAC-7444",18558540,"Production",18509810,18509814,"46844"
"56",13,"BTA-25900-no-rs",18509812,"Production",18509810,18509814,"46845"
"57",13,"ARS-BFGL-BAC-7444",18558540,"Production",18509810,18509814,"46845"
"58",13,"BTA-25900-no-rs",18509812,"Exterior",18509810,18509814,"46846"
"59",13,"ARS-BFGL-BAC-7444",18558540,"Exterior",18509810,18509814,"46846"
"60",13,"BTA-25900-no-rs",18509812,"Exterior",18509810,18509814,"46847"
"61",13,"ARS-BFGL-BAC-7444",18558540,"Exterior",18509810,18509814,"46847"
"62",13,"BTA-25900-no-rs",18509812,"Exterior",18509810,18509814,"46848"
"63",13,"ARS-BFGL-BAC-7444",18558540,"Exterior",18509810,18509814,"46848"
"64",13,"BTA-25900-no-rs",18509812,"Exterior",18509810,18509814,"46849"
"65",13,"ARS-BFGL-BAC-7444",18558540,"Exterior",18509810,18509814,"46849"
"66",13,"BTA-25900-no-rs",18509812,"Reproduction",18509810,18509814,"46850"
"67",13,"ARS-BFGL-BAC-7444",18558540,"Reproduction",18509810,18509814,"46850"
"68",13,"BTA-25900-no-rs",18509812,"Health",18509810,18509814,"46851"
"69",13,"ARS-BFGL-BAC-7444",18558540,"Health",18509810,18509814,"46851"
"70",13,"BTA-25900-no-rs",18509812,"Reproduction",18509810,18509814,"46852"
"71",13,"ARS-BFGL-BAC-7444",18558540,"Reproduction",18509810,18509814,"46852"
"72",13,"BTA-25900-no-rs",18509812,"Exterior",18509810,18509814,"46853"
"73",13,"ARS-BFGL-BAC-7444",18558540,"Exterior",18509810,18509814,"46853"
"74",13,"BTA-25900-no-rs",18509812,"Reproduction",18558538,18558542,"46854"
"75",13,"ARS-BFGL-BAC-7444",18558540,"Reproduction",18558538,18558542,"46854"
"76",13,"BTA-25900-no-rs",18509812,"Exterior",18558538,18558542,"46855"
"77",13,"ARS-BFGL-BAC-7444",18558540,"Exterior",18558538,18558542,"46855"
"78",13,"BTA-25900-no-rs",18509812,"Exterior",18558538,18558542,"46856"
"79",13,"ARS-BFGL-BAC-7444",18558540,"Exterior",18558538,18558542,"46856"
"80",13,"BTA-25900-no-rs",18509812,"Milk",18558538,18558542,"46857"
"81",13,"ARS-BFGL-BAC-7444",18558540,"Milk",18558538,18558542,"46857"
"82",13,"BTA-25900-no-rs",18509812,"Exterior",18558538,18558542,"46858"
"83",13,"ARS-BFGL-BAC-7444",18558540,"Exterior",18558538,18558542,"46858"
"84",13,"BTA-25900-no-rs",18509812,"Milk",18558538,18558542,"46859"
"85",13,"ARS-BFGL-BAC-7444",18558540,"Milk",18558538,18558542,"46859"
"86",13,"BTA-25900-no-rs",18509812,"Production",18558538,18558542,"46860"
"87",13,"ARS-BFGL-BAC-7444",18558540,"Production",18558538,18558542,"46860"
"88",13,"BTA-25900-no-rs",18509812,"Production",18558538,18558542,"46861"
"89",13,"ARS-BFGL-BAC-7444",18558540,"Production",18558538,18558542,"46861"
"90",13,"BTA-25900-no-rs",18509812,"Milk",18558538,18558542,"46862"
"91",13,"ARS-BFGL-BAC-7444",18558540,"Milk",18558538,18558542,"46862"
