"","CHR","BP","Var","SNP","chr","start_pos","end_pos","width","strand","gene_id","gene_name","gene_biotype"
"1",10,50554831,0.6660810063,"BTB-01434227","10",50557150,50607672,50523,"+","ENSBTAG00000013493","BNIP2","protein_coding"
"2",10,50554831,0.6660810063,"BTB-01434227","10",50582585,50614948,32364,"+","ENSBTAG00000010298","GTF2A2","protein_coding"
"3",10,50554831,0.6660810063,"BTB-01434227","10",50584841,50584967,127,"-","ENSBTAG00000043816",NA,"snoRNA"
"4",13,18266073,0.6006650297,"Hapmap50266-BTA-13664","13",18226732,18280982,54251,"-","ENSBTAG00000016060","CREM","protein_coding"
"5",13,18386942,0.5282867231,"Hapmap49833-BTA-103929","13",18321888,18393476,71589,"+","ENSBTAG00000007133","CUL2","protein_coding"
"6",13,18509812,0.636412785,"BTA-25900-no-rs","13",18449975,18466359,16385,"+","ENSBTAG00000052242",NA,"lncRNA"
"7",13,18509812,0.636412785,"BTA-25900-no-rs","13",18484975,19062784,577810,"+","ENSBTAG00000014991","PARD3","protein_coding"
"8",13,18558540,0.6630788663,"ARS-BFGL-BAC-7444","13",18484975,19062784,577810,"+","ENSBTAG00000014991","PARD3","protein_coding"
"9",15,34054485,0.5549891922,"ARS-BFGL-NGS-2713","15",34027052,34225316,198265,"+","ENSBTAG00000001410","GRAMD1B","protein_coding"
"10",15,34109962,0.6252263388,"ARS-BFGL-NGS-98724","15",34027052,34225316,198265,"+","ENSBTAG00000001410","GRAMD1B","protein_coding"
"11",15,34144843,0.5490536701,"ARS-BFGL-NGS-5976","15",34027052,34225316,198265,"+","ENSBTAG00000001410","GRAMD1B","protein_coding"
"12",2,115821065,1.1689686326,"ARS-BFGL-NGS-103753","2",115812583,115843935,31353,"-","ENSBTAG00000021325","SLC19A3","protein_coding"
"13",2,115875702,0.7398417168,"Hapmap54770-rs29009608","2",115812583,115843935,31353,"-","ENSBTAG00000021325","SLC19A3","protein_coding"
"14",2,115821065,1.1689686326,"ARS-BFGL-NGS-103753","2",115838391,115840022,1632,"+","ENSBTAG00000007127",NA,"protein_coding"
"15",2,115875702,0.7398417168,"Hapmap54770-rs29009608","2",115838391,115840022,1632,"+","ENSBTAG00000007127",NA,"protein_coding"
"16",2,115986085,0.8178265017,"ARS-BFGL-NGS-43721","2",115948258,115951955,3698,"+","ENSBTAG00000021326","CCL20","protein_coding"
"17",2,115986085,0.8178265017,"ARS-BFGL-NGS-43721","2",115992779,116028253,35475,"+","ENSBTAG00000021327","DAW1","protein_coding"
"18",2,116018639,0.5958550712,"ARS-BFGL-NGS-107330","2",115992779,116028253,35475,"+","ENSBTAG00000021327","DAW1","protein_coding"
"19",2,115622067,0.826839192,"Hapmap41888-BTA-49091","2",115629949,115704725,74777,"+","ENSBTAG00000021323","AGFG1","protein_coding"
"20",2,115665427,1.2851805897,"ARS-BFGL-BAC-35548","2",115629949,115704725,74777,"+","ENSBTAG00000021323","AGFG1","protein_coding"
"21",2,115695003,1.6071883333,"BTA-49096-no-rs","2",115629949,115704725,74777,"+","ENSBTAG00000021323","AGFG1","protein_coding"
"22",2,115730530,1.3488469086,"ARS-BFGL-NGS-30337","2",115629949,115704725,74777,"+","ENSBTAG00000021323","AGFG1","protein_coding"
"23",2,115730530,1.3488469086,"ARS-BFGL-NGS-30337","2",115758046,115758105,60,"+","ENSBTAG00000054571","bta-mir-2285ao-1","miRNA"
"24",2,115821065,1.1689686326,"ARS-BFGL-NGS-103753","2",115791504,115808606,17103,"+","ENSBTAG00000050771",NA,"lncRNA"
"25",24,28487771,0.6899732353,"ARS-BFGL-BAC-28665","24",28485983,28486143,161,"+","ENSBTAG00000028575","U1","snRNA"
"26",24,28516684,0.7747524437,"Hapmap54981-rs29019846","24",28485983,28486143,161,"+","ENSBTAG00000028575","U1","snRNA"
"27",3,111677167,0.7467347019,"BTB-01948148","3",111603940,112289188,685249,"+","ENSBTAG00000005784","CSMD2","protein_coding"
"28",3,111708236,1.2415855102,"Hapmap42062-BTA-109789","3",111603940,112289188,685249,"+","ENSBTAG00000005784","CSMD2","protein_coding"
"29",3,111730561,0.9480214011,"BTB-01641394","3",111603940,112289188,685249,"+","ENSBTAG00000005784","CSMD2","protein_coding"
"30",3,111751663,1.0607738886,"ARS-BFGL-NGS-37809","3",111603940,112289188,685249,"+","ENSBTAG00000005784","CSMD2","protein_coding"
"31",3,111772736,1.2101267375,"ARS-BFGL-NGS-25298","3",111603940,112289188,685249,"+","ENSBTAG00000005784","CSMD2","protein_coding"
"32",3,111806406,1.0252690009,"ARS-BFGL-NGS-44131","3",111603940,112289188,685249,"+","ENSBTAG00000005784","CSMD2","protein_coding"
"33",3,111833768,1.1671761702,"ARS-BFGL-NGS-6202","3",111603940,112289188,685249,"+","ENSBTAG00000005784","CSMD2","protein_coding"
"34",3,111933069,0.6077153076,"ARS-BFGL-NGS-85333","3",111603940,112289188,685249,"+","ENSBTAG00000005784","CSMD2","protein_coding"
"35",3,111965305,0.7547885266,"ARS-BFGL-NGS-97849","3",111603940,112289188,685249,"+","ENSBTAG00000005784","CSMD2","protein_coding"
"36",3,111933069,0.6077153076,"ARS-BFGL-NGS-85333","3",111927003,111927727,725,"-","ENSBTAG00000000335","HMGB4","protein_coding"
"37",3,111965305,0.7547885266,"ARS-BFGL-NGS-97849","3",111927003,111927727,725,"-","ENSBTAG00000000335","HMGB4","protein_coding"
"38",5,6312610,0.5103844282,"BTA-73915-no-rs","5",6174722,6273171,98450,"+","ENSBTAG00000021756","ZDHHC17","protein_coding"
"39",5,6312610,0.5103844282,"BTA-73915-no-rs","5",6281008,6300975,19968,"-","ENSBTAG00000013406","CSRP2","protein_coding"
