"","SNP_name","rsID","CHR","BP","Var"
"1","ARS-BFGL-BAC-2191","rs42812364",15,10827424,0.3020576808
"2","ARS-BFGL-BAC-28665","rs111010562",24,28487771,0.6899732353
"3","ARS-BFGL-BAC-31736","rs42930372",20,12166596,0.370064722
"4","ARS-BFGL-BAC-35548","rs110100182",2,115665427,1.2851805897
"5","ARS-BFGL-BAC-35732","rs109538801",22,36432552,0.3176352298
"6","ARS-BFGL-BAC-7444","rs110491621",13,18558540,0.6630788663
"7","ARS-BFGL-NGS-101461","rs110600398",18,27938774,0.3809178316
"8","ARS-BFGL-NGS-101698","rs110435062",11,96235663,0.3932618133
"9","ARS-BFGL-NGS-103753","rs110842922",2,115821065,1.1689686326
"10","ARS-BFGL-NGS-107330","rs109766798",2,116018639,0.5958550712
"11","ARS-BFGL-NGS-110683","rs110606737",3,112064027,0.332146408
"12","ARS-BFGL-NGS-111085","rs41756499",15,34205212,0.4880066068
"13","ARS-BFGL-NGS-111563","rs110964572",11,85771451,0.3654883409
"14","ARS-BFGL-NGS-111672","rs109491825",11,96285921,0.3447816358
"15","ARS-BFGL-NGS-113265","rs111014992",10,16182204,0.4067019434
"16","ARS-BFGL-NGS-116109","rs41757840",15,34225443,0.422466866
"17","ARS-BFGL-NGS-116274","rs43704412",13,18626070,0.4947972566
"18","ARS-BFGL-NGS-117553","rs41994531",1,130269306,0.3155001262
"19","ARS-BFGL-NGS-21967","rs109669065",13,18489670,0.4937232391
"20","ARS-BFGL-NGS-25298","rs109868537",3,111772736,1.2101267375
"21","ARS-BFGL-NGS-26086","rs109526941",15,34001596,0.3355724892
"22","ARS-BFGL-NGS-2713","rs41761360",15,34054485,0.5549891922
"23","ARS-BFGL-NGS-30337","rs110485060",2,115730530,1.3488469086
"24","ARS-BFGL-NGS-30447","rs109870524",13,18189413,0.4135776882
"25","ARS-BFGL-NGS-30583","rs110619943",3,105587654,0.3004601911
"26","ARS-BFGL-NGS-3276","rs110634531",20,12087403,0.5722138312
"27","ARS-BFGL-NGS-37809","rs42751504",3,111751663,1.0607738886
"28","ARS-BFGL-NGS-40301","rs110114574",11,85359517,0.3055185485
"29","ARS-BFGL-NGS-41140","rs42042561",24,28638911,0.4372705711
"30","ARS-BFGL-NGS-43211","rs110382564",12,11150596,0.3360266261
"31","ARS-BFGL-NGS-43490","rs110266870",11,96322228,0.38587215
