"","X","SNP","rsID","CHR","BP","LOG_P","chr","start_pos","end_pos","width","strand","gene_id","gene_name","gene_biotype"
"1",34,"Hapmap59011-rs29027498","rs29027498",4,26511448,4.5376617947,"4",26324012,26469689,145678,"-","ENSBTAG00000014074","SNX13","protein_coding"
"2",20,"BTB-00170785","rs43377276",4,27094376,5.4850630615,"4",27093041,27667961,574921,"+","ENSBTAG00000003808","HDAC9","protein_coding"
"3",33,"Hapmap58854-rs29023486","rs29023486",4,95650788,4.8251028051,"4",95631850,95631921,72,"-","ENSBTAG00000045386","bta-mir-320b","miRNA"
"4",1,"ARS-BFGL-NGS-110705","rs110079750",4,103979600,5.5910060182,"4",103877533,103947944,70412,"-","ENSBTAG00000004799","DENND2A","protein_coding"
"5",1,"ARS-BFGL-NGS-110705","rs110079750",4,103979600,5.5910060182,"4",103994401,104008963,14563,"+","ENSBTAG00000020484","ADCK2","protein_coding"
"6",1,"ARS-BFGL-NGS-110705","rs110079750",4,103979600,5.5910060182,"4",104013524,104019157,5634,"+","ENSBTAG00000021759","NDUFB2","protein_coding"
"7",1,"ARS-BFGL-NGS-110705","rs110079750",4,103979600,5.5910060182,"4",104027627,104194547,166921,"-","ENSBTAG00000021761","BRAF","protein_coding"
"8",13,"ARS-BFGL-NGS-45265","rs110935391",4,107787202,5.3756277477,"4",107701708,108020989,319282,"+","ENSBTAG00000054424",NA,"protein_coding"
"9",13,"ARS-BFGL-NGS-45265","rs110935391",4,107787202,5.3756277477,"4",107718449,108101163,382715,"-","ENSBTAG00000017676","TPK1","protein_coding"
"10",28,"Hapmap48062-BTA-72409","rs41566051",4,109568557,4.7098821442,"4",109526182,109526350,169,"-","ENSBTAG00000053666",NA,"misc_RNA"
"11",36,"Hapmap60503-rs29018741","rs29018741",4,7873471,4.6107671076,"4",7867490,7867588,99,"-","ENSBTAG00000045389","U6","snRNA"
"12",7,"ARS-BFGL-NGS-12139","rs110160157",4,50755462,5.0159046126,"4",50743789,50957593,213805,"-","ENSBTAG00000006589","CFTR","protein_coding"
"13",8,"ARS-BFGL-NGS-12510","rs110038841",17,46487068,4.5477665054,"17",46406767,46715519,308753,"+","ENSBTAG00000009797","RIMBP2","protein_coding"
"14",17,"ARS-BFGL-NGS-87412","rs109273103",17,47884497,6.6223537303,"17",47426664,48084896,658233,"+","ENSBTAG00000002950","TMEM132D","protein_coding"
"15",2,"ARS-BFGL-NGS-112149","rs109276211",17,48800954,5.2689399437,"17",48417339,48868560,451222,"-","ENSBTAG00000046256","TMEM132C","protein_coding"
"16",3,"ARS-BFGL-NGS-112210","rs109631116",21,4055731,4.4939377181,"21",3866347,4146441,280095,"-","ENSBTAG00000013422","GABRB3","protein_coding"
"17",4,"ARS-BFGL-NGS-115605","rs42029843",23,44822126,4.3164338541,"23",44802116,44835671,33556,"-","ENSBTAG00000010256","TMEM170B","protein_coding"
